Frequency of exercising|active lifestyle
Frequency of active methods such as walking or bicycling to/from school|active lifestyle
Frequency of use of parks and physical activity in parks|active lifestyle
Physical education enrollment, frequency of class, and amount of activity during class|active lifestyle
Number of days participated in specific outdoor recreational activity (e.g., walking, hiking, kayaking, backpacking, snowboarding) during the past year|active lifestyle
Frequency of childs bicycle riding in past month|active lifestyle
Exercise at least 3 times a week|active lifestyle
Frequency of physical education and average amount of time spent in class exercising or playing sports|active lifestyle
Frequency of participation in sports or exercise|active lifestyle
In the past month, circle a number for how many times you: Participated in sports with other people you do not live with|active lifestyle
I do activities to increase muscle strength, such as lifting weights or calisthenics, once a week or more.|active lifestyle
I do activities to improve flexibility, such as stretching or yoga, once a week or more.|active lifestyle
# Times per week (Aerobics)|active lifestyle
TBI (F0385): In a typical month how many times do you engage in sports or exercise outside your home? Include activities like running, bowling, going to the gym, swimming, walking for exercise and the like.|active lifestyle
Frequency weight-bearing exercise|active lifestyle
I do moderate physical activities every week, but less than 30 minutes a day or 5 days a week.|active lifestyle
I do 30 minutes or more a day of moderate physical activities, 5 or more days a week.|active lifestyle
Frequency and amount of time spent on vigorous and moderate physical activity|active lifestyle
I do vigorous physical activities every week, but less than 20 minutes a day or 3 days a week.|active lifestyle
I do 20 minutes or more a day of vigorous physical activities, 3 or more days a week.|active lifestyle
Frequency of physical activity for 60 or more minutes per day|active lifestyle
Frequency of physical activity (number of days respondent spent 60 minutes or more exercising)|active lifestyle
How many flights of stairs (not individual steps) do you climb daily|active lifestyle
Participants heart rate during 4 minute warm up|physical capacity
Participants heart rate immediately after the walk|physical capacity
Participants heart rate during the last 10 minutes of the walk as shown on heart rate monitor|physical capacity
How many days in the past week have you performed physical activity where your heart beats faster and your breathing is harder than normal for 30 minutes or more? (In 3, 10 minute bouts, or one 30-minute bout)|physical capacity
Exercise testing for evaluation of hypoxemia and/or desaturation that occurs on exertion|physical capacity
Hard Activity (Increased breathing and moderate movement)|active lifestyle
Activity Level|active lifestyle
Activity Intensity|active lifestyle
An assessment of all recent physical activities and the intensity of those activities.|active lifestyle
Compared to other children your child's age, what was (his/her) level of participation before the injury in structured events and activities in the neighborhood and community (eg, team sports, clubs, holiday or religious events, concerts, parades and fairs)?|physical capacity
I have to limit my physical activity because of diarrhea|environment
Do you know of any other reason why you should NOT do physical activity?|environment
Do you have a bone or joint problem that could be made worse by a change in your physical activity?|environment
Do you feel pain in your chest when you do physical activity?|environment
In the past month, have you had chest pain when you were not doing physical activity?|environment
Does your health limit you in terms of climbing several flights of stairs?|environment
I have trouble walking because of pain|environment
Does the patient have other clinical conditions limiting ability to walk (recent leg fracture, significant osteoarthritis, related orthopedic conditions, degenerative neurological conditions, etc.)?|environment
HEADACHE (F1384): Would you have had physical trouble or difficulty doing the activities in gym class?|environment
HEADACHE (F1383): Would your child have had physical trouble or difficulty doing the activities in gym class (or playing sports)?|environment
Pain experienced while engaging in physical activity|environment
Supplemental oxygen during the test|physical capacity
Supplemental oxygen during the test flow|physical capacity
What is your usual walking pace outdoors|active lifestyle
Before the patient was sick, how many days per week did the patient exercise for 20 minutes or longer?|physical capacity
Exercise peak pulse rate|physical capacity
Exercise peak systolic blood pressure|physical capacity
Do you exercise regularly?|active lifestyle
Number of curl-ups|active lifestyle
Total number of curls made correctly within 30 seconds|physical capacity
Number of modified pull-ups completed|physical capacity
Number of push-ups completed|physical capacity
Number of push-ups|physical capacity
Does your health now limit you in these activities: Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports|physical capacity
A measure of a person's confidence in their ability to exercise on a regular basis - Adolescent Protocol|active lifestyle
A measure of a person's confidence in their ability to exercise on a regular basis.|active lifestyle
Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking in the house|physical capacity
Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking outside on level ground|physical capacity
Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking up a flight of stairs|physical capacity
Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking up hills|physical capacity
Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Playing sports or active games (baseball, tennis, etc.)|physical capacity
Shortness of breath with walking around your home and activities of daily living?|physical capacity
During the past three months, my family (or members of my household) or friends: Planned for exercise on recreational outings.|active lifestyle
Walking speed|active lifestyle
Time to complete entire 1 mile run|physical capacity
Time to complete entire 1 mile walk|physical capacity
Time to complete entire 1 mile walk|physical capacity
Treadmill speed during warm up|physical capacity
End of Test Oxygen Saturation (SpO2)|physical capacity
Exercise SpO2|physical capacity
Resting or Exercise Arterial pO2 <= 55 mm Hg or SpO2 <= 88%|physical capacity
During the past three months, my family (or members of my household) or friends: Exercised with me.|environment
During the past three months, my family (or members of my household) or friends: Offered to exercise with me.|environment
During the past three months, my family (or members of my household) or friends: Gave me helpful reminders to exercise ("Are you going to exercise tonight?").|environment
During the past three months, my family (or members of my household) or friends: Gave me encouragement to stick with my exercise program.|environment
During the past three months, my family (or members of my household) or friends: Changed their schedule so we could exercise together.|environment
During the past three months, my family (or members of my household) or friends: Discussed exercise with me.|environment
During the past three months, my family (or members of my household) or friends: Complained about the time I spend exercising.|environment
During the past three months, my family (or members of my household) or friends: Criticized me or made fun of me for exercising.|environment
During the past three months, my family (or members of my household) or friends: Gave me rewards for exercising (bought me something or gave me something I like).|environment
During the past three months, my family (or members of my household) or friends: Helped plan activities around my exercise.|environment
During the past three months, my family (or members of my household) or friends: Asked me for ideas on how they can get more exercise.|environment
During the past three months, my family (or members of my household) or friends: Talked about how much they like to exercise.|environment
Over the past 6 months, to what extent: Has your workplace had rules or policies that made it easier for you to manage your illness (such as no smoking rules or time off work to exercise)?|environment
Exercise Type|active lifestyle
What kind of exercise do you typically do?|active lifestyle
End of Test Heart Rate|physical capacity
Walk Velocity % Predicted - 2 minutes|physical capacity
Walk Velocity % Predicted - 6 minutes|physical capacity
I do some light physical activity every week.|active lifestyle
How often did you participate in STRENUOUS exercise activities or sports (e.g., swimming laps, aerobics, calisthenics, running, jogging, basketball, cycling on hills, racquetball)?|active lifestyle
During the past 7 days, did you walk to get some place that took you at least 10 minutes?|active lifestyle
Running (10-minute miles or faster)|active lifestyle
Running (10-minute miles or faster)|active lifestyle
Jogging (slower than 10-minute mile)|active lifestyle
Walking one hundred yards|active lifestyle
Walking on a level with others your age|environment
Sometimes you may walk for fun, relaxation, exercise, or to walk the dog. During the past 7 days, did you walk for at least 10 minutes for any of these reasons?|active lifestyle
Has the patient participated in a marathon, triathalon, or other endurance-related physical activity within the last 24 months?|active lifestyle
Do you exercise or play enough to make you sweat and breathe hard?|active lifestyle
Have you walked fast or briskly for exercise in the past 4 weeks?|active lifestyle
Have you swam gently in the past 4 weeks?|active lifestyle
Hard Activity|active lifestyle
5 METs: Heavy outdoor work (digging, spading soil), playing singles tennis, carry 60 pounds|active lifestyle
Have you done heavy work around the house in the past 4 weeks?|active lifestyle
2 METs: Light yard work (raking leaves, weeding, pushing power mower), painting, light carpentry|active lifestyle
Light Activity|active lifestyle
Have you done light work around the house in the past 4 weeks?|active lifestyle
Have you done light gardening in the past 4 weeks?|active lifestyle
Have you done light strength training in the past 4 weeks?|active lifestyle
Lower intensity exercise (yoga, stretching, Pilates, toning)|active lifestyle
Lower intensity exercise (yoga, stretching, Pilates, toning)|active lifestyle
GENERAL (F1278): Mild Exercise (minimal effort) ----- HD (F1278): Mild Exercise (minimal effort) ----- MS (F1278): Mild Exercise (minimal effort)|active lifestyle
Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf|active lifestyle
Does your health now limit you in these activities: Moderate activities, such as moving a table, pushing a vacuum cleaner, bowling, or playing golf|active lifestyle
GENERAL (F1278): Moderate Exercise (Not exhausting) ----- HD (F1278): Moderate Exercise (Not exhausting) ----- MS (F1278): Moderate Exercise (Not exhausting)|active lifestyle
The following survey questions have to do with moderate-intensity walking. It is important to think clearly about the sort of walking you do in order to answer these questions accurately. Here are a few guidelines about moderate-intensity walking. Moderate-intensity walking is done at a medium pace (about 3 miles per hour) such as walking done for pleasure, transportation, exercise, sport, hiking, or backpacking; walking your dog; walking during lunch breaks or after dinner; walking instead of driving a short distance; and walking to and from classes. How much do the following things prevent you from accumulating at least 30 minutes of walking throughout your daily routine? ... foot pain, perspiring in nice clothing, blisters ...|active lifestyle
How often did you participate in MODERATE exercise activities or sports (e.g., brisk walking, golf, volleyball, cycling on level streets, recreational tennis, or softball)?|active lifestyle
Moderate Activity|active lifestyle
The next questions are about physical activities or exercise you may do in your free time for at least 10 minutes, other than walking. First, think about activities that take moderate physical effort, such as bicycling, dancing, swimming, and gardening. During the last 7 days, did you do any moderate physical activities in your free time for at least 10 minutes, other than walking?|active lifestyle
Have you swam moderately or fast in the past 4 weeks?|active lifestyle
Have you done moderate to heavy strength training in the past 4 weeks?|active lifestyle
Walking more than a mile|active lifestyle
11. Carry a heavy object (over 10 lbs)|physical capacity
Walking several hundred yards|active lifestyle
GENERAL (F1278): Strenuous Exercise (heart beats rapidly) ----- HD (F1278): Strenuous Exercise (heart beats rapidly) ----- MS (F1278): Strenuous Exercise (heart beats rapidly)|active lifestyle
Very Hard activity (hard breathing and quick movement)|physical capacity
Any other vigorous activities (lawn mowing, etc.)|active lifestyle
Very Hard Activity|active lifestyle
Now think about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming. Again, do not include walking. During the last 7 days, did you do any vigorous physical activities in your free time?|active lifestyle
Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports|active lifestyle
Vigorous activities, such as runing, lifting heavy objects, participating in strenuous sports|active lifestyle
By yourself and without using any special equipment, how much difficulty do you have lifting or carrying something as heavy as 10 pounds?|physical capacity
GENERAL (F1278): During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly) ----- HD (F1278): During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly) ----- MS (F1278): During a typical 7-Day period (a week), in your leisure time, how often do you engage in any regular activity long enough to work up a sweat (heart beats rapidly)|active lifestyle
Meaningfulness of physical activity|active lifestyle
Rate HOW SURE you are that you can do the following in each situation: Instead of just sitting listening to music, listen while you are being active (e.g. walking or dancing)?|active lifestyle
I rarely or never do any physical activities.|active lifestyle
1 METs: Walking slowly on a flat surface for 1-2 blocks, moderate housework (vacuum, sweeping floors, carrying groceries)|active lifestyle
3 METs: Walking briskly (4 miles in an hour), social dancing, washing a car|active lifestyle
4 METs: Playing 9 holes of golf carrying your own clubs, heavy carpentry, mow lawn with push mower|active lifestyle
6 METs: Move heavy furniture, jog slowly, climb stairs quickly, carry 20 pounds upstairs|active lifestyle
Walking for exercise or walking to work|active lifestyle
Other Activity Description|active lifestyle
Standing or walking around at work or away from home|active lifestyle
Standing or walking around at home|active lifestyle
Walking|active lifestyle
Walking up stairs|active lifestyle
Walk|active lifestyle
Leisure-time physical activity (adults only)|active lifestyle
Take frequent walks in neighborhood|active lifestyle
Physical activity|active lifestyle
Physical activity outside of school|active lifestyle
Whether or not respondent engaged in exercise for the purpose of weight loss in past 30 days|active lifestyle
Occupational physical activity|active lifestyle
Have you played billiards or shot pool in the past 4 weeks?|active lifestyle
Have you walked uphill in the past 4 weeks?|active lifestyle
Have you walked to do errands in the past 4 weeks?|active lifestyle
Have you walked leisurely for exercise or pleasure in the past 4 weeks?|active lifestyle
Have you done yoga or Tai-chi in the past 4 weeks?|active lifestyle
During the past month, other than your regular job, did you participate in any physical activities or exercises such as running, calisthenics, golf, gardening, or walking for exercise?|active lifestyle
7 METs: Bicycling at a moderate pace, sawing wood, jumping rope (slowly)|active lifestyle
8 METs: Brisk swimming, bicycle up a hill, walking briskly uphill, jog 6 miles per hour|active lifestyle
Walking/bicycling for travel|active lifestyle
Favorite outdoor activities|active lifestyle
Childrens bicycle use in past year|active lifestyle
Ride a bicycle to work or for other transportation|active lifestyle
Have you played golf, riding a cart in the past 4 weeks?|active lifestyle
Have you played golf, carrying or pulling your equipment in the past 4 weeks?|active lifestyle
Efforts to encourage physical activity|environment
Over the past 6 months, to what extent: Have family or friends exercised with you?|environment
Over the past 6 months, to what extent: Have you walked or done other exercise activities with neighbors?|environment
Constraints on outdoor activities (e.g., lack of money; lack of time due to work, family, or other obligations; health restrictions; lack of companion for activity; inadequate transportation; pollution)|environment
Participation in sports|active lifestyle
9 METs: Cross country ski, play full court basketball|active lifestyle
10 METs: Running briskly, continuously (level grounds, 8 minutes per mile)|active lifestyle
11 METs: Any competitive activity with intermittent sprinting, running competitively, rowing, backpacking|active lifestyle
Compared to other children your child's age, what was (his/her) level of participation before the injury in social, play and recreational activities with other children at school (eg, 'hanging out,' sports, clubs, hobbies, creative arts, lunchtime or recess activities)?|active lifestyle
Participation in specific sports|active lifestyle
Participation in sports teams during the past year (number of teams)|active lifestyle
Physical activity environment: Parks within walking distance, their safety|active lifestyle
Have you danced in the past 4 weeks?|active lifestyle
Have you played singles tennis in the past 4 weeks?|active lifestyle
Have you played doubles tennis in the past 4 weeks?|active lifestyle
Have you skated in the past 4 weeks?|active lifestyle
Have you ridden a bicycle or stationary cycle in the past 4 weeks?|active lifestyle
Have you done water exercises in the past 4 weeks?|active lifestyle
Have you done stretching or flexibility exercises in the past 4 weeks?|active lifestyle
Have you done aerobics or aerobic dancing in the past 4 weeks?|active lifestyle
Over the past 6 months, to what extent: Have you attended wellness programs or fitness facilities?|active lifestyle
Other aerobic exercise (aerobic dancing, ski or stair machine, etc.)|active lifestyle
Lap swimming|active lifestyle
Weight training or resistance exercises (including free weights or machines such as Nautilus)|active lifestyle
Tennis, squash, racquetball|active lifestyle
Tennis, squash, racquetball|active lifestyle
Run|active lifestyle
Cardiorespiratory fitness|active lifestyle
Have you jogged or run in the past 4 weeks?|active lifestyle
Have you done general conditioning exercises in the past 4 weeks?|active lifestyle
Have you played basketball, soccer, or racquetball in the past 4 weeks?|active lifestyle
8. Garden or do yard work.|physical capacity
7. Do heavy household chores (e.g., wash walls, wash floors).|physical capacity
18. Recreational activities in which you take some force or impact through your arm, shoulder or hand (e.g., golf, hammering, tennis, etc.).|physical capacity
19. Recreational activities in which you move your arm freely (e.g., playing frisbee, badminton, etc.).|physical capacity
Lifting or carrying groceries|physical capacity
NMD (F1062): Post-Exercise ----- SMA (F1062): Post-Exercise|physical capacity
ALS (F0786): Exercise brings on my fatigue ----- GENERAL (F0786): Exercise brings on my fatigue ----- MS (F0786): Exercise brings on my fatigue ----- PD (F0786): Exercise brings on my fatigue|physical capacity
When I don't exercise I feel guilty.|environment
I sometimes feel like I don't want to exercise, but I go ahead and push myself anyway.|environment
When I miss an exercise session, I feel concerned about my body possibly getting out of shape.|environment
If I miss a planned workout, I attempt to make up for it the next day.|active lifestyle
I may miss a day of exercise for no good reason.|active lifestyle
Sometimes, I feel a need to exercise twice in one day, even though I may feel a little tired.|environment
If I feel I have overeaten, I will try to make up for it by increasing the amount I exercise.|active lifestyle
When I miss a scheduled exercise session I may feel tense, irritable or depressed.|environment
Sometimes, I find that my mind wanders to thoughts about exercising.|active lifestyle
I have had daydreams about exercising.|active lifestyle
I keep a record of my exercise performance, such as how long I work out, how far or fast I run.|active lifestyle
I have experienced a feeling of euphoria or a high during or after an exercise session.|environment
I frequently push myself to the limits.|environment
I have exercised when advised against such activity (i.e. by a doctor, friend, etc.)|active lifestyle
For each situation, give me a number between 1 and 5 that describes how s.u.r.e. you are that you can walk for exercise. (1) means I'm sure I cannot, and (5) means I'm sure I can. You can use any number in between; I can set aside at least 10 minutes, 3 days a week, for regular walking for exercise|active lifestyle
Do you usually feel motivated to exercise?|environment
Do you enjoy exercise?|active lifestyle
Are you too tired to exercise?|environment
I'm in too much pain to exercise|physical capacity
Were you sick last week, or did anything prevent you from doing your normal physical activities?|environment
Please indicate how much time on a typical WEEK DAY your child does the following activities, when he/she is mostly sitting, and not moving around; Sitting at work (if child has a job)|environment
Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseNo other children walk or bike to this park|environment
Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) because It's not considered cool to walk or bike|environment
Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) because It is easier for me to drive my child here on the way to something else|environment
Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) because It involves too much planning ahead|environment
I don't have anyone to exercise with|environment
If I have planned to exercise at a particular time and somethingunexpected comes up (like an old friend comes to visit or I have some work to do that needs immediate attention) I will usually skip my exercise for that day.|environment
About how many times during the month did you participate in vigorous activities, that lasted at least 10 minutes and caused large increases in breathing, heart rate, or leg fatigue, or caused you to perspire?|active lifestyle
Are you able to do chores such as vaccuming or yard work? (Without any difficulty)|physical capacity
Are you able to do chores such as vaccuming or yard work? (With a little difficulty)|physical capacity
Are you able to do chores such as vaccuming or yard work? (With some difficulty)|physical capacity
Are you able to do chores such as vaccuming or yard work? (With much difficulty)|physical capacity
Are you able to do chores such as vaccuming or yard work? (unable to do)|physical capacity
Are you able to go up and down stairs at a normal pace? (Without any difficulty)|physical capacity
Are you able to go up and down stairs at a normal pace? (With a little difficulty)|physical capacity
Are you able to go up and down stairs at a normal pace? (With some difficulty)|physical capacity
Are you able to go up and down stairs at a normal pace? (With much difficulty)|physical capacity
Are you able to go up and down stairs at a normal pace? (unable to do)|physical capacity
Are you able to go for a walk of at least 15 minutes? (Without any difficulty)|physical capacity
Are you able to go for a walk of at least 15 minutes? (With a little difficulty)|physical capacity
Are you able to go for a walk of at least 15 minutes? (With some difficulty)|physical capacity
Are you able to go for a walk of at least 15 minutes? (With much difficulty)|physical capacity
Are you able to go for a walk of at least 15 minutes? (unable to do)|physical capacity
Are you able to run errands and shop? (Without any difficulty)|physical capacity
Are you able to run errands and shop? (With a little difficulty)|physical capacity
Are you able to run errands and shop? (With some difficulty)|physical capacity
Are you able to run errands and shop? (With much difficulty)|physical capacity
Are you able to run errands and shop? (unable to do)|physical capacity
Has you doctor ever said that you have a heart condition and that you should only perform physical activity reccommended by a doctor?|physical capacity
Do you feel pain in your chest when you perform physical activity?|physical capacity
In the past month, have you ever had chest pain when you were not performing any physical activity?|physical capacity
Do you lose your balance because of dizziness or do you ever lose consciousness?|physical capacity
Do you have a bone or joint problem that could be be made worse by a change in your physical activity?|physical capacity
Does your occupation require extended periods of sitting?|environment
Does your occupation require extended periods of repetitive movements?|active lifestyle
Do you partake in any recreational activities (golf, tennis, skiing, etc.)?|active lifestyle
I rarely or never do any physical activities.|active lifestyle
I do some light or moderate physical activities, but not every week.|active lifestyle
I do some light physical activity every week.|active lifestyle
I do vigorous physical activities every week, but less than 20 minutes a day or 3 days a week.|active lifestyle
I do activities to increase muscle strength, such as lifting weights or calisthenics, once a week or more.|active lifestyle
I do activities to improve flexibility, such as stretching or yoga, once a week or more.|active lifestyle
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (push open a heavy door)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (place an object on a shelf above your head)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (do heavy household chores (e.g., wash walls, wash floors)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (graden or do yard work)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (carry a shopping bag or briefcase)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (carry a heavy object (over 10 lbs))|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (recreational activities which require little effort (e.g., cardplaying, knitting, etc)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (recreational activities in which you take some force or impact through your arm, shoulder or hand (e.g., golf, hammering, tennis, etc)|physical capacity
Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (recreational activities in which you move your arm freely (e.g., playing frisbee, badminton, etc)|physical capacity
During the past week, to what extent has your arm, shoulder or hand problem interfered with your nonrmal social activities with family, friends, neighbors or groups? (circle number)|physical capacity
During the past week, were you limited in your work or other regular daily activities as a result of your arm, shoulder or hand problem? (circle number)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (No difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain?(No difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (No difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (Mild difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain? (Mild difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (Mild Difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (Moderate difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain? (Moderate Difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (Moderate difficulty)|physical capacity
Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport?(Severe difficulty)|physical capacity
