id,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire,
191,,,,"About how many times during the month did you participate in vigorous activities, that lasted at least 10 minutes and caused large increases in breathing, heart rate, or leg fatigue, or caused you to perspire?",activity,,,,,,
1,cLBP,Report of the Task Force on Research Standards for Chronic Low-Back Pain,http://painconsortium.nih.gov/NIH_Pain_Programs/Task_Force/cLBP_RTF_MinimalDataset.pdf,Are you able to do chores such as vaccuming or yard work? (Without any difficulty),,,able to,vaccuming or yard work,,,
2,,,,Are you able to do chores such as vaccuming or yard work? (With a little difficulty),,,able to,vaccuming or yard work,,,
3,,,,Are you able to do chores such as vaccuming or yard work? (With some difficulty),,,able to,vaccuming or yard work,,,
4,,,,Are you able to do chores such as vaccuming or yard work? (With much difficulty),,,able to,vaccuming or yard work,,,
5,,,,Are you able to do chores such as vaccuming or yard work? (unable to do),,,able to,vaccuming or yard work,,,
6,,,,Are you able to go up and down stairs at a normal pace? (Without any difficulty),,,able to, go up and down stairs,,,
7,,,,Are you able to go up and down stairs at a normal pace? (With a little difficulty),,,able to, go up and down stairs,,,
8,,,,Are you able to go up and down stairs at a normal pace? (With some difficulty),,,able to, go up and down stairs,,,
9,,,,Are you able to go up and down stairs at a normal pace? (With much difficulty),,,able to, go up and down stairs,,,
10,,,,Are you able to go up and down stairs at a normal pace? (unable to do),,,able to, go up and down stairs,,,
11,,,,Are you able to go for a walk of at least 15 minutes? (Without any difficulty),,,able to,go for a walk ,,,
12,,,,Are you able to go for a walk of at least 15 minutes? (With a little difficulty),,,able to,go for a walk ,,,
13,,,,Are you able to go for a walk of at least 15 minutes? (With some difficulty),,,able to,go for a walk ,,,
14,,,,Are you able to go for a walk of at least 15 minutes? (With much difficulty),,,able to,go for a walk ,,,
15,,,,Are you able to go for a walk of at least 15 minutes? (unable to do),,,able to,go for a walk ,,,
16,,,,Are you able to run errands and shop? (Without any difficulty),,,are you able to,run errands and shop,,,
17,,,,Are you able to run errands and shop? (With a little difficulty),,,are you able to,run errands and shop,,,
18,,,,Are you able to run errands and shop? (With some difficulty),,,are you able to,run errands and shop,,,
19,,,,Are you able to run errands and shop? (With much difficulty),,,are you able to,run errands and shop,,,
20,,,,Are you able to run errands and shop? (unable to do),,,are you able to,run errands and shop,,,
21,National Academy of Sports Medicine,Physical Activity Readiness Questionnaire (PAR-Q),http://www.nasm.org/docs/pdf/nasm_par-q-%28pdf-21k%29.pdf,Has you doctor ever said that you have a heart condition and that you should only perform physical activity reccommended by a doctor?,,,heart condition,physical activity reccommended by a doctor,,,
22,,,,Do you feel pain in your chest when you perform physical activity?,,,chest pain,physical activity,,,
23,,,,"In the past month, have you ever had chest pain when you were not performing any physical activity?",,,chest pain,physical activity,,,
24,,,,Do you lose your balance because of dizziness or do you ever lose consciousness?,,,"lose balance, lose consciousness",,,,
25,,,,Do you have a bone or joint problem that could be be made worse by a change in your physical activity?,,,bone or joint problem,physical activity,,,
26,,,,Does your occupation require extended periods of sitting?,,occupation require extended periods of sitting,,,,,
27,,,,Does your occupation require extended periods of repetitive movements?,repetitive movement,,,,,,
28,,,,"Do you partake in any recreational activities (golf, tennis, skiing, etc.)?","recreational activity, golf, tennis, skiing",,,,,,
29,University of Washington Health Promotion Research Center,How physically active are you? An assessment of level and intensity of physical activity,https://depts.washington.edu/hprc/docs/rapa_03_06.pdf,I rarely or never do any physical activities. ,physical activity,,,,,,
30,,,,"I do some light or moderate physical activities, but not every week. ",physical activity,,,,,,
31,,,,I do some light physical activity every week. ,physical activity,,,,,,
32,,,,"I do vigorous physical activities every week, but less than 20 minutes a day or 3 days a week. ",physical activity,,,,,,
33,,,,"I do activities to increase muscle strength, such as lifting weights or calisthenics, once a week or more. ","lifting weight, calisthenics",,,,,,
34,,,,"I do activities to improve flexibility, such as stretching or yoga, once a week or more.  ","stretching, yoga",,,,,,
35,Institue for Work & Health (IWH),"DASH ""Disabilities of the Arm, Shoulder, and Hand""",http://dash.iwh.on.ca/system/files/dash_questionnaire_2010.pdf,Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (push open a heavy door),,,your ability to do,push open a heavy door,,,
36,,,,Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (place an object on a shelf above your head),,,your ability to do,place an object on a shelf above your head,,,
37,,,,"Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (do heavy household chores (e.g., wash walls, wash floors)",,,your ability to do,heavy household chores; wash walls; wash floors,,,
38,,,,Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (graden or do yard work),,,your ability to do,garden; yard work,,,
39,,,,Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (carry a shopping bag or briefcase),,,your ability to do,carry a shopping bag or briefcase,,,
40,,,,Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (carry a heavy object (over 10 lbs)),,,your ability to do,carry a heavy object ,,,
41,,,,"Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (recreational activities which require little effort (e.g., cardplaying, knitting, etc)",,,your ability to do,recreational activities which require little effort; cardplaying; knitting,,,
42,,,,"Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (recreational activities in which you take some force or impact through your arm, shoulder or hand (e.g., golf, hammering, tennis, etc)",,,your ability to do,recreational activities in which you take some force or impact through your arm; shoulder or hand; golf; hammering; tennis,,,
43,,,,"Please rate your ability to do the following activities in the last week by circling the number below the appropriate response. (recreational activities in which you move your arm freely (e.g., playing frisbee, badminton, etc)",,,your ability to do,recreational activities in which you move your arm freely; frisbee; badminton,,,
44,,,,"During the past week, to what extent has your arm, shoulder or hand problem interfered with your nonrmal social activities with family, friends, neighbors or groups? (circle number)",,,arm. Shoulder or hand problem,normal social activities,,,
45,,,,"During the past week, were you limited in your work 
or other regular daily activities as a result of your arm, 
shoulder or hand problem? 
(circle number)",,,arm. Shoulder or hand problem,regular daily activities,,,
46,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (No difficulty),,,have any difficulty,playing instrument; playing sport,,,
47,,,,"Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain?(No difficulty)",,,"your physical ability; have any difficulty; arm, shoulder, hand pain",playing instrument; playing sport,,,
48,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (No difficulty),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
49,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (Mild difficulty),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
50,,,,"Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain? (Mild difficulty)",,,"your physical ability; have any difficulty; arm, shoulder, hand pain",playing instrument; playing sport,,,
51,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (Mild Difficulty),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
52,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (Moderate difficulty),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
53,,,,"Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain? (Moderate Difficulty)",,,"your physical ability; have any difficulty; arm, shoulder, hand pain",playing instrument; playing sport,,,
54,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (Moderate difficulty),,,"your physical ability; have any difficulty; arm, shoulder, hand pain",playing instrument; playing sport,,,
55,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport?(Severe difficulty),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
56,,,,"Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain? (Severe difficulty)",,,"your physical ability; have any difficulty; arm, shoulder, hand pain",playing instrument; playing sport,,,
57,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (Severe difficulty),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
58,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: using your usual technique for playing your instrument or sport? (Unable),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
59,,,,"Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: playing your musical instrument or sport because of arm, shoulder or hand pain? (Unable)",,,"your physical ability; have any difficulty; arm, shoulder, hand pain",playing instrument; playing sport,,,
60,,,,Please circle the number that best describes your physical ability in the past week. Did you have any difficulty: spending your usual amount of time practising or playing your instrument or sport? (Unable),,,your physical ability; have any difficulty,playing instrument; playing sport,,,
62,,,,About how many days did you walk fur exercise?,walk,,,,,,
63,,,,"On average, how many minutes did you walk each time?",walk,,,,,,
64,,,,"Did you usually have a small increase, a medium increase, a large increase or no increase at all in your heart beat and/or breathing?",,,increase in heart beat; increase in breathing,,,,
65,,,,"What is your usual pace of walking? Is it: (1) casual or strolling, (2) average or normal, (3) fairly brisk, or (4) brisk or striding?",walking; strolling,,,,,,
66,,,," I would like you to respond with never ,rarely, sometimes, onen, or
very often; During the past 3 months, my family or friends exercised or walked with me",,family; friends,,exercise; walk,,,
67,,,," I would like you to respond with never ,rarely, sometimes, onen, or
very often; During the past 3 months my family or friends offered to exercise or walk with me.",,family; friends; offered,,exercise; walk,,,
68,,,,"I would like you to respond with never ,rarely, sometimes, onen, or very often; During the past 3 months. my family or friends encouraged me to exercise or walk.",,family; friends; encourage,,exercise; walk,,,
69,,,,On a scale from 1 to 5 with 1 meaning I hate it and 5 meaning I enjoy it. how much do you enjoy physical activity while you are doing it?,physical activity,,,,,,
70,,,,"On a scale from 1 to 5 with 1 meaning I feel interested and 5 meaning I feel bored, how much are you interested by physical activity while you are doing it?",physical activity,,,,,,
71,,,,"On a scale from 1 to 5 with 1 meaning it's no fun at all and 5 meaning it's a lot of fun, how fun is physical activity for you while you are doing it?",physical activity,,,,,,
72,,,,On a scale from I to 5 with 1 meaning it's very pleasant and 5 meaning it's vea unQleasant. how pleasant is physical activity for you while you are doing it?,physical activity,,,,,,
73,,,,"On a scale from 1 to 5 with 1 meaning I feel good physically and 5 meaning I feel bad pysically, how do you feel while you are doing physical activity?",physical activity,,,,,,
74,,,,"For each situation, give me a number between 1 and 5 that describes how s.u.r.e. you are that you can walk for exercise. (1) means I'm sure I cannot, and (5) means I'm sure I can. You can use any number in between; I can walk at least 10 minutes, for 3 days a week even though I am feeling sad or highly stressed ",,feeling sad; highly stressed,,walk; exercise,,,
75,,,,"For each situation, give me a number between 1 and 5 that describes how s.u.r.e. you are that you can walk for exercise. (1) means I'm sure I cannot, and (5) means I'm sure I can. You can use any number in between; I can stick to walking for at least 10 minutes, for 3 days a week, even when my family or social life take a lot of my time.",,family; social life,,walk; exercise,,,
77,,,,I am going to read to you some things that may interfere with or prevent you from exercising or walking. For each onet tell me how often it interferes or prevents you from exercising or walking; I lack someone to exercise with me ,,interfere or prevent from exercising; lack someone to exercise with,,exercising; walking,,,
78,,,,I am going to read to you some things that may interfere with or prevent you from exercising or walking. For each onet tell me how often it interferes or prevents you from exercising or walking; Others discourage me ,,interfere or prevent from exercising; discourage,,exercising; walking,,,
79,,,,I am going to read to you some things that may interfere with or prevent you from exercising or walking. For each onet tell me how often it interferes or prevents you from exercising or walking; I am afraid of injury,,interfere or prevent from exercising; afraid of injury,,exercising; walking,,,
80,,,,I am going to read to you some things that may interfere with or prevent you from exercising or walking. For each onet tell me how often it interferes or prevents you from exercising or walking; I have a lack of time ,,interfere or prevent from exercising; lack of time,,exercising; walking,,,
81,Dr. James Sallis,Parent-Child Survey 1 ,http://www.drjamessallis.sdsu.edu/Documents/Active%20Where_parent_child_survey.pdf,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; gas station",,how long would it take ,,walk,,,
82,http://www.drjamessallis.sdsu.edu/measures.html,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; convenience/corner store/ small grocery store/ bodega",,how long would it take ,,walk,,,
83,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; supermarket ",,how long would it take ,,walk,,,
84,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; hardware store",,how long would it take ,,walk,,,
85,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; fruit/vegetable market ",,how long would it take ,,walk,,,
86,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; laundry or dry cleaners",,how long would it take ,,walk,,,
87,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; clothing store",,how long would it take ,,walk,,,
88,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; post office",,how long would it take ,,walk,,,
89,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; library ",,how long would it take ,,walk,,,
90,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; elementary school",,how long would it take ,,walk,,,
91,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; middle or high school",,how long would it take ,,walk,,,
92,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; book store",,how long would it take ,,walk,,,
93,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; fast food restaurant",,how long would it take ,,walk,,,
94,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; coffee place",,how long would it take ,,walk,,,
95,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; bank/credit union",,how long would it take ,,walk,,,
96,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; non-fast food restaurant",,how long would it take ,,walk,,,
97,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; video store",,how long would it take ,,walk,,,
98,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; pharmacy/drug store",,how long would it take ,,walk,,,
99,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; hairdressers/barber shop",,how long would it take ,,walk,,,
100,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; any offices/worksites",,how long would it take ,,walk,,,
101,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest stores or places listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; bus, subway or train stop",,how long would it take ,,walk,,,
102,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; indoor recreation or exercise facility (public or private)",,how long would it take ,,walk,,,
103,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; beach, lake, river, or creek ",,how long would it take ,,walk,,,
104,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; bike/hiking/walking trails, paths ",,how long would it take ,,walk,,,
105,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; basketball court",,how long would it take ,,walk,,,
106,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; other playing fields/courts (e.g., soccer,football,softball,tennis, skate park etc.)",,how long would it take ,,walk,,,
107,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; YMCA",,how long would it take ,,walk,,,
108,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; boys and girls club",,how long would it take ,,walk,,,
109,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; swimming pool",,how long would it take ,,walk,,,
110,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; walking/running track",,how long would it take ,,walk,,,
111,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; school with recreation facilities open to the public",,how long would it take ,,walk,,,
112,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; small public park",,how long would it take ,,walk,,,
113,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; large public park",,how long would it take ,,walk,,,
114,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; public playground with equipment",,how long would it take ,,walk,,,
115,,,,"About how long would it take you to walk (on your own, without your children) from your home to the nearest recreation place listed below? Please circle the time it would take you to walk to each place, even if you don't normally go there; public open space (grass or sand/dirt) that is not a park",,how long would it take ,,walk,,,
116,,,,Please tell us how often your child is active in the following places; indoor recreation or exercise facility (public or private),active; indoor recreation; exercise facility,,,,,,
117,,,,"Please tell us how often your child is active in the following places; beach, lake, river, or creek ",active; beach; lake; river; creek,,,,,,
118,,,,"Please tell us how often your child is active in the following places; bike/hiking/walking trails, paths ",active; bike; hiking; walking trails,,,,,,
119,,,,Please tell us how often your child is active in the following places; basketball court ,active; basektball court,,,,,,
120,,,,"Please tell us how often your child is active in the following places; other playing fields/courts
(e.g., football, softball, tennis) ",active; paying fields; football; softball; tennis,,,,,,
121,,,,Please tell us how often your child is active in the following places; YMCA ,active; YMCA,,,,,,
122,,,,Please tell us how often your child is active in the following places; boys and girls club ,active; boys and girls club,,,,,,
123,,,,Please tell us how often your child is active in the following places; swimming pool ,active; swimming  pool,,,,,,
124,,,,Please tell us how often your child is active in the following places; walking / running track ,active; running track; walking track,,,,,,
125,,,,Please tell us how often your child is active in the following places; school with recreation facilities open to the public,active; recreation facilities,,,,,,
126,,,,Please tell us how often your child is active in the following places; small public park,active; park,,,,,,
127,,,,Please tell us how often your child is active in the following places; large public park,active; park,,,,,,
128,,,,Please tell us how often your child is active in the following places;  public playground with equipment,active; playground,,,,,,
129,,,,Please tell us how often your child is active in the following places;  public open space (grass or sanddirt) that is not a park ,active; open space,,,,,,
130,,,,"Please tell us how often your child is active in the following places;  shopping mall, plaza",active; shopping mall; plaza,,,,,,
131,,,,Please tell us how often your child is active in the following places; friend/relative's house,active; frend's house; relative's house,,,,,,
132,,,,Please tell us how often your child is active in the following places;  place child works ,active; place child works,,,,,,
133,,,,"If your child goes there, does he/she usually walk or bike there? (Alone or with someone)",walk; bike,,,,,,
134,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ There are too many hills along the way ,,too many hills,,bike; walk; park,,,
135,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ There are no sidewalks or bike lanes,,no sidewalks; no bike lanes,,bike; walk; park,,,
136,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ The route does not have good lighting,,does not have good lighting,,bike; walk; park,,,
137,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ The route is boring ,,route is boring,,bike; walk; park,,,
138,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉThere is too much traffic along the route ,,too much traffic along the route,,bike; walk; park,,,
139,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ There is one or more dangerous crossings ,,dangerous crossings,,bike; walk; park,,,
140,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ  My child gets too hot and sweaty ,,gets too hot and sweaty,,bike; walk; park,,,
143,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ  My child has too much stuff to carry  ,,has too much stuff to carry,,bike; walk; park,,,
146,,,,"Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ   It is unsafe because of crime (strangers,gangs, drugs) ",,"unsafe because of crime (strangers,gangs, drugs) ",,bike; walk; park,,,
147,,,,"Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ   My child gets bullied, teased, harassed ",,"gets bullied, teased, harassed",,bike; walk; park,,,
148,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ   There is nowhere to leave a bike safely ,,nowhere to leave a bike safely,,bike; walk; park,,,
149,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ   There are stray dogs ,,stray dogs,,bike; walk; park,,,
150,,,,Do you agree or disagree with the following statements: It is difficult for my child to walk or bike to the local park (alone or with someone) becauseÉ   It is too far,,too far,,bike; walk; park,,,
151,,,,"For the past seven days, how many days was your child physically active for a total of at least 60 minutes per day?",physically active,,,,,,
152,,,,Over a typical or usual week on how many days is your child physically active for a total of at least 60 minutes per day?,physically active,,,,,,
153,,,,"Outside of school, how many days per week does your child play or practice team sports?",play; practice team sports,,,,,,
154,,,,"Outside of school, how many days per week does your child have activity training or instruction not in a team sport (e.g., martial arts, dance, tennis)",activity trainig; sports; martial arts; dance; tennis,,,,,,
155,,,,How many days per week does your child have gym or Phys Ed class at school?,gym; Phys Ed class,,,,,,
156,,,,how much time did your child spend walking your dog last week?,walking your dog,,,,,,
157,,,,"Please indicate how much time on a typical WEEK DAY your child does the following activities, when he/she is mostly sitting, and not moving around; Watching television/videos/DVDs ",watching television; watching video; watching DVDs,,,,,,
158,,,,"Please indicate how much time on a typical WEEK DAY your child does the following activities, when he/she is mostly sitting, and not moving around; Playing computer or video games (like Nintendo or xbox)",playing computer games; video games; nintendo; xbox,,,,,,
159,,,,"Please indicate how much time on a typical WEEK DAY your child does the following activities, when he/she is mostly sitting, and not moving around; Using the internet, emailing, or other electronic media for leisure ",using the internet; emailing; using other electronic media for leisure,,,,,,
160,,,,"Please indicate how much time on a typical WEEK DAY your child does the following activities, when he/she is mostly sitting, and not moving around; Doing homework (including reading, writing, or using the computer) ",doing homework; reading; writing; using computer,,,,,,
