ID,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire
739,,,,"For each of the ages below, did you usually do strenuous or very hard exercises at least 3 days a week? This would include exercise that was long enough to work up a sweat and make your heart beat fast. (Be sure to mark ""No"" if you did not do very hard exercises at the ages listed below.)","exercise, exercises ",,,"sweat, heart beat",,
740,,,,"For each of the ages below, did you usually do strenuous or very hard exercises at least 3 days a week? This would include exercise that was long enough to work up a sweat and make your heart beat fast. (Be sure to mark ""No"" if you did not do very hard exercises at the ages listed below.); 18 years old.","exercise, exercises ",,,"sweat, heart beat",,
741,,,,"For each of the ages below, did you usually do strenuous or very hard exercises at least 3 days a week? This would include exercise that was long enough to work up a sweat and make your heart beat fast. (Be sure to mark ""No"" if you did not do very hard exercises at the ages listed below.); 35 years old.","exercise, exercises ",,,"sweat, heart beat",,
742,,,,"For each of the ages below, did you usually do strenuous or very hard exercises at least 3 days a week? This would include exercise that was long enough to work up a sweat and make your heart beat fast. (Be sure to mark ""No"" if you did not do very hard exercises at the ages listed below.); 50 years old.","exercise, exercises ",,,"sweat, heart beat",,
743,,Three Question Physical Activity Assessment,http://appliedresearch.cancer.gov/paq/q102.html,"How many times a week do you usually do 30 minutes or more walking? (e.g. walking from place to place for exercise, leisure or recreation)?","walking, exercise, leisure, recreation ",,,,,
744,,,,"How many times a week do you usually do 20 minutes or more of vigorous-intensity physical activity that make you sweat or puff and pant? (e.g., heavy lifting digging, jogging, aerobics or fast bicycling)?"," physical activity, heavy lifting digging, jogging, aerobics, fast bicycling",,,"sweat, puff ",,
745,,,,"How many times a week do you usually do 30 minutes or more of moderate-intensity physical activity that increases your heart rate or make you breathe harder than normal? (e.g., carrying light loads, bicycling at a regular pace or doubles tennis)?","physical activity, carrying, bicycling. Tennis",,,"heart rate, breathe",,
746,,Two Question Physical Activity Assessment,http://appliedresearch.cancer.gov/paq/q101.html,How many times a week do you usually do 30 minutes or more of moderate-intensity physical activity or walking that increases your heart rate or makes you breathe harder than normal?,"physical activity, walking",,,"heart rate, breathe",,
747,,Short Retrospective Physical Activity Questionnaire,http://appliedresearch.cancer.gov/paq/q097.html,"How many hours on average did you spend on a weekday with physically vigorous activities: e.g., climbing stairs, cycling uphill?",,weekday,,"activities,  climbing stairs, cycling uphill",,
748,,,,"How many hours on average did you spend on a weekday with physically moderate activities, e.g. fast walking, cycling without going uphill?",,weekday,,"activities, fast walking, cycling",,
749,,,,xx.x hours are left for physically light activities e.g. cooking....walking activities,"activity, activities, cooking, walking",,,,,
750,,,,"On average, how many hours per week did you work?",work,,,,,
751,,,,How often during this time period did/do you typically walk (only outside the house and not at work)? On Weekdays:,walk,,,weekdays,,
752,,,,How often during this time period did/do you typically walk (only outside the house and not at work)? On Weekends:,walk,,,weekends,,
753,,,,"How often during this time period did/do you typically ride a bicycle (ordinary cycling for transportation, not for exercise) on weekdays?","bicycle, cycling",,,"weekdays, weekday",not for exercise,
754,,,,"How often during this time period did/do you typically ride a bicycle (ordinary cycling for transportation, not for exercise) on weekends?","bicycle, cycling",,,"weekends, weekend",,
755,,"School Health Action, Planning and Evaluation System (SHAPES) PAQ",http://appliedresearch.cancer.gov/paq/q096.html,"Mark how many minutes of MODERATE physical activity (lower intensity activities such as walking, biking to school) you did in the last 7 days. This includes physical activity during physical education class, lunch, recess, after school, evenings, and spare time.","physical activity, walking, biking",,," physical education class, lunch, recess, after school, evenings, spare time",,
756,,Physical Activity Recall Instrument,http://appliedresearch.cancer.gov/paq/q092.html,"PA Log (In the past week, how many times have you WALKED for recreation or exercise and/or to get to and from places for at least 10 minutes continuously? Please estimate the total time you spent walking in the past week.)","walk, exercise, recreation, physical activity",,,,,
757,,,,"In the past week, how many times did you do VIGOROUS exercise or other physical activity (around the house or at work) which made you breathe harder or puff and pant? (e.g., Jogging or running, heavy gardening, netball, chopping wood, vigorous swimming, heavy laboring).ÊPlease estimate the total time spent doing vigorous exercise or physical activity in the past week.",,,,,,
758,,,,"In the past week, how many times did you do MODERATE exercise or other physical activity (around the house or at work) which DID NOT make you breathe harder or puff and pant? (e.g., digging in the garden, moderate cycling, raking leaves, dancing).ÊPlease estimate the total time spent doing moderate exercise or physical activity in the past week.",,,"breathe, puff and pant","exercise, physical activity, digging, cycling, raking leaves, dancing",,
759,,The Physical Activity Questionnaire for Elderly Japanese (PAQ-EJ),http://appliedresearch.cancer.gov/paq/q091.html,"Over 7 typical days, how often did you take a walk or ride a bicycle on errands such as going to or from a store or taking children to school?",,"errands, taking children",,"walk, bicycle",,
760,,,,"On average, how many hours per day did you spend walking or cycling for these reasons?",,for these reasons,,"walking, cycling",,
761,,,,"Over 7 typical days, how often did you participate in light sport and recreational activities such as leisurely walking for exercise or pleasure...","light sport, recreational activities, walking, exercise",,,,,
762,,,,"On average, how many hours per day did you engage in these light sport and recreational activities?"," light sport, recreational activities?",,,,,
763,,,,"Over 7 typical days, how often did you participate in moderate or somewhat strenuous sport and recreational activities such as walking fast or briskly for exercise...","sport, recreational activities, walking fast, exercise",,,,,
764,,,,On average how many hours per day did you engage in these moderate or somewhat strenuous sporting and recreational activities?,"sporting,  recreational activities",,,,,
765,,The Physical Activity at Home and Work Instrument (PAHWI),http://appliedresearch.cancer.gov/paq/q090.html,We would like to know how much you walk and lift at home and work during the space of a week. Choose the alternatives that best correspond to your working tasks during the past month and give the number of hours you have devoted to these activities.,"walk, lift",,,,,
766,,,,"We would like to know how much you walk and lift at home and work during the space of a week: Light domestic work including standing and walking, such as cooking, ironing and picking things up","standing, walking, cooking, ironing, picking, walk, lift",,,,,
767,,,,"We would like to know how much you walk and lift at home and work during the space of a week: Light yet flexible work. You have a light job, during which you walk and stand quite a lot, include working as a nurse, in a shop, doing light industrial work","walk, lift",,,,,
768,,,,"We would like to know how much you walk and lift at home and work during the space of a week: You have a fairly strenuous job, including walking, climbing stairs, heavy lifting or more than 3 kg, such as nursing or service, work, postman","walk, lift,  walking, climbing stairs, heavy lifting, nursing, service, work, postman",,,,,
769,,Past Year Total Physical Activity Questionnaire (PYTPAQ),http://appliedresearch.cancer.gov/paq/q089.html,"PA Log (List up to 3 main activities that you did to go to and from work or volunteer activity e.g.. walk, bike, in-line skate etc)",,to go to and from work or volunteer activity,,"walk, bike, in-line skate ",,
770,,Occupational Physical Activity Questionnaire (OPAQ),http://appliedresearch.cancer.gov/paq/q088.html,"Considering all walking, how many hours per day do you walk at work?",,work,,walking,,
771,,,,"In a usual day, do you do any walking at work, such as walking in the halls, postal carrier, waiter, or roving sales person? ",,work,,walking,,
772,,,,"In a usual day, do you do any heavy labor or use power tools at work, such as moving furniture, carpentry, jackhammers, or using a shovel or pick?",,work,,"heavy labor, moving furniture, carpentry, jackhammers, using a shovel, pick",,
773,,,,How many hours per day do you do heavy labor at work? ,,work,,heavy labor,,
774,,NHANES 2005 Physical Activity and Physical Fitness - PAQ,http://www.cdc.gov/nchs/data/nhanes/nhanes_05_06/mi_paq_d.pdf,"Over the past 30 days, how often did {you/SP} do this? [Walk or bicycle as part of getting to and from Q/U work, or school, or to do errands.]",," getting to and from Q/U work, or school, or to do errands",,"walk, bicycle",,
775,,,,"On those days when {you/SP} walked or bicycled, about how long did {you/s/he} spend altogether doing this?","walk, bicycle",,,,,
776,,,,"Over the past 30 days, did {you/SP} do any vigorous activities for at least 10 minutes that caused heavy sweating, or large increases in breathing or heart rate? Some examples are running, lap swimming, aerobics classes, or fast bicycling",,," heavy sweating,  large increases in breathing, heart rate","activities, running, lap swimming, aerobics classes, fast bicycling",,
777,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? AEROBICS (HIGH IMPACT, E.G., STEP,TAEBO)","activities, aerobics, step, taebo",,,,,
778,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? BASKETBALL","activities, basketball",,,,,
779,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? BICYCLING","activities, bicycling",,,,,
780,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? FOOTBALL","activities, football",,,,,
781,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? HOCKEY ","activities, hockey",,,,,
782,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? HIKING ","activities, hiking",,,,,
783,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? JOGGING","activities, jogging",,,,,
784,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? KAYAKING ","activities, kayaking",,,,,
785,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? RACQUETBALL","activities, racquetball",,,,,
786,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? ROLLERBLADING","activities, rollerblading",,,,,
787,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? ROWING","activities, rowing",,,,,
788,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? RUNNING","activities, running",,,,,
789,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? SKATING","activities, skating",,,,,
790,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? SKIING Ð CROSS COUNTRY (Including Nordic Track)","activities, sking, Cross country, nordic track",,,,,
791,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? SKIING Ð DOWNHILL","activities, sking ",,,,,
792,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? SOCCER","activities, soccer",,,,,
793,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? STAIR CLIMBING","activities, Stair climbing",,,,,
794,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? SWIMMING","activities, swimming",,,,,
795,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? TENNIS","activities, tennis",,,,,
796,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? TREADMILL","activities, treadmill",,,,,
797,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? VOLLEYBALL","activities, vollyball",,,,,
798,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? WALKING","activities, walking",,,,,
799,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? WEIGHT LIFTING","activities, weight lifting",,,,,
800,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? FRISBEE","activities, frisbee",,,,,
801,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? HORSEBACK RIDING","activities, horseback riding",,,,,
802,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? MARTIAL ARTS (KARATE, JUDO)","activities, martial arts, karate, judo ",,,,,
803,,,,"[Over the past 30 days], what vigorous activities did {you/SP} do? YOGA","activities, yoga",,,,,
804,,,,"[Over the past 30 days], how often did {you/SP}  do aerobics? PROBE: How many times per day, per week, or per month?",aerobics,,,,,
805,,,,"[Over the past 30 days], how often did {you/SP}  play baseball? PROBE: How many times per day, per week, or per month?",baseball,,,,,
806,,,,"[Over the past 30 days], how often did {you/SP}  play basketball? PROBE: How many times per day, per week, or per month?",basketball,,,,,
807,,,,"[Over the past 30 days], how often did {you/SP}  bicycle? PROBE: How many times per day, per week, or per month?",bicycle,,,,,
808,,,,"[Over the past 30 days], how often did {you/SP}  bowl? PROBE: How many times per day, per week, or per month?",bowl,,,,,
809,,,,"[Over the past 30 days], how often did {you/SP}  dance? PROBE: How many times per day, per week, or per month?",dance,,,,,
810,,,,"[Over the past 30 days], how often did {you/SP}  fish? PROBE: How many times per day, per week, or per month?",fish,,,,,
811,,,,"[Over the past 30 days], how often did {you/SP}  play football? PROBE: How many times per day, per week, or per month?",football,,,,,
812,,,,"[Over the past 30 days], how often did {you/SP} play golf?  PROBE: How many times per day, per week, or per month?",golf,,,,,
813,,,,"[Over the past 30 days], how often did {you/SP}  hike?  PROBE: How many times per day, per week, or per month?",hike,,,,,
814,,,,"[Over the past 30 days], how often did {you/SP}  play hockey? PROBE: How many times per day, per week, or per month?",hockey,,,,,
815,,,,"[Over the past 30 days], how often did {you/SP}  hunt? PROBE: How many times per day, per week, or per month?",hunt,,,,,
816,,,,"[Over the past 30 days], how often did {you/SP}  jog? PROBE: How many times per day, per week, or per month?",jog,,,,,
817,,,,"[Over the past 30 days], how often did {you/SP}  kayak? PROBE: How many times per day, per week, or per month?",kayak,,,,,
818,,,,"[Over the past 30 days], how often did {you/SP}  rollerblade? PROBE: How many times per day, per week, or per month?",rollerblade,,,,,
819,,,,"[Over the past 30 days], how often did {you/SP}  row? PROBE: How many times per day, per week, or per month?",row,,,,,
820,,,,"[Over the past 30 days], how often did {you/SP}  skate? PROBE: How many times per day, per week, or per month?",skate,,,,,
821,,,,"[Over the past 30 days], how often did {you/SP}  downhill ski? PROBE: How many times per day, per week, or per month?",downhill ski,,,,,
822,,,,"[Over the past 30 days], how often did {you/SP}  play soccer? PROBE: How many times per day, per week, or per month?",soccer,,,,,
823,,,,"[Over the past 30 days], how often did {you/SP}  play softball? PROBE: How many times per day, per week, or per month?",softball,,,,,
824,,,,"[Over the past 30 days], how often did {you/SP}  climb stairs? PROBE: How many times per day, per week, or per month?",climb stairs,,,,,
825,,,,"[Over the past 30 days], how often did {you/SP}  stretch? PROBE: How many times per day, per week, or per month?",stretch,,,,,
826,,,,"[Over the past 30 days], how often did {you/SP}  swim? PROBE: How many times per day, per week, or per month?",swim,,,,,
827,,,,"[Over the past 30 days], how often did {you/SP}  play tennis PROBE: How many times per day, per week, or per month?",tennis,,,,,
828,,,,"[Over the past 30 days], how often did {you/SP}  use a treadmill? PROBE: How many times per day, per week, or per month?",treadmill,,,,,
829,,,,"[Over the past 30 days], how often did {you/SP}  play volleyball? PROBE: How many times per day, per week, or per month?",volleyball,,,,,
830,,,,"[Over the past 30 days], how often did {you/SP}  walk? PROBE: How many times per day, per week, or per month?",walk,,,,,
831,,,,"[Over the past 30 days], how often did {you/SP}  lift weights? PROBE: How many times per day, per week, or per month?",lift weights,,,,,
832,,,,"[Over the past 30 days], how often did {you/SP}  play frisbee? PROBE: How many times per day, per week, or per month?","play frisbee, frisbee",,,,,
833,,,,"[Over the past 30 days], how often did {you/SP}  horseback ride? PROBE: How many times per day, per week, or per month?",horseback ride,,,,,
834,,,,"[Over the past 30 days], how often did {you/SP}  play martial arts? PROBE: How many times per day, per week, or per month?","play martial arts, martial arts",,,,,
835,,,,"[Over the past 30 days], how often did {you/SP}  do yoga? PROBE: How many times per day, per week, or per month?",yoga,,,,,
836,,,,"Over the past 30 days, did {you/SP} do any physical activities specifically designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups?",,,muscles,"physical activities, lifting weights, push-ups, sit-ups",,
837,,,,"[Over the past 30 days], how often did {you/SP} do these physical activities? [Activities designed to strengthen {your/his/her} muscles such as lifting weights, push-ups or sit-ups.]",,,muscles,"physical activities, lifting weights, push-ups, sit-ups",,
838,,,,"Over the past 30 days, on average how many hours per day did {you/SP} sit and watch TV or videos {outside of work}?",,outside of work,,sit and watch TV. Videos,,
839,,,,"Over the past 30 days, on average how many hours per day did {you/SP} use a computer or play computer games {outside of work}?",,outside of work,,"computer, play computer games",,
840,,New Zealand Physical Activity Questionnaire - Short Form,http://appliedresearch.cancer.gov/paq/q084s.html,"During the last 7 days, on how many days did you walk at a brisk pace - a brisk pace is a pace at which you are breathing harder than normal? This includes walking at work or school, while getting from place to place, at home and at any activities that you did solely for recreation, sport, exercise or leisure. Think only about brisk walking done for at least 10 minutes at a time.",,, brisk pace,"walking, recreation, sport, exercise, leisure",,
841,,,, How much time did you typically spend walking at a brisk pace on each of those days?,,, brisk pace,walking,,
842,,,,"During the last 7 days, on how many days did you do moderate physical activities? ðModerate' activities make you breathe harder than normal, but only a little - like carrying light loads, bicycling at a regular pace, or other activities like those on this cardÊ(Showcard 1 - Moderate Physical Activity). Do not include walking of any kind. Think only about those physical activities done for at least 10 minutes at a time.",physical activities,,,"breathe harder than normal, but only a little",,
843,,,,"During the last 7 days, on how many days did you do vigorous physical activities? ðVigorous' activities make you breathe a lot harder than normal (ðhuff and puff') - like heavy lifting, digging, aerobics, fast bicycling, or other activities like those shown on this card", physical activities,,, breathe a lot harder than normal,,
844,,The Leisure Time Physical Activity Instrument (LTPAI),http://appliedresearch.cancer.gov/paq/q082.html,"Light physical activities which do not increase your breathing rate, such as slow walking or cycling, light swimming-pool exercise, swimming or gardening.",,,breathing rate,"physical activities, slow walking, cycling, light swimming-pool exercise, swimming, gardening",,
845,,,,"Moderate physical activity or exercise that increases your breathing rate or body temperature (perspiration), even if you can still keep talking while exercising. This includes brisk walking or cycling, walking on paths in nature, light jogging, moderately intensive gardening, pool exercise, aerobics and so on.",,,"breathing rate, body temperature, perspiration","physical activity,  exercise, walking, cycling, walking, jogging, gardening, aerobics, pool exercise",,
846,,,,"Vigorous exercise that noticeably increases your breathing rate and perspiration, such as fast walking, jogging, other strenuous aerobic or weight training, ball games, gardening and so on.",,,"breathing rate, perspiration","exercise. walking, jogging, aerobic,  weight training, ball games, gardening ",,
847,,Lagerros Usual Daily Physical Activity Instrument,http://appliedresearch.cancer.gov/paq/q080.html,"How much time a day do you spend doing activities as demanding as: For example walking briskly, horseback riding, sweeping sidewalk etc","activities, walking, horseback riding, sweeping sidewalk",,,,,
848,,Health-enhancing physical activity (HEPA) and Office in Motion Questionnaire (OIMQ),http://appliedresearch.cancer.gov/paq/q079.html,On how many days during a usual week you work up a sweat during leisure time while being physically active?,,,sweat, physically active,,
849,,,,Activities-during the last seven days:. Bicycling fast (about 15 km/h),Bicycling,,,,,
850,,,,Activities-during the last seven days: Bicycling slowing (about 9 km/h),Bicycling,,,,,
851,,,,Activities-during the last seven days: Walking normally,Walking,,,,,
852,,,,Activities-during the last seven days: Walking quickly or uphill,Walking,,,,,
853,,,,Activities-during the last seven days: Climbing upstairs,Climbing,,,,,
854,,,,Activities-during the last seven days: Walking while carrying heavy baggage,Walking,,,carrying heavy baggage,,
855,,,,Activities-during the last seven days: Bicycling slowly (about 9 km/h),Bicycling,,,,,
856,,,,Activities-during the last seven days: Bicycling fast (about 15 km/h),Bicycling,,,,,
857,,,,"Activities-during the last seven days: . Bicycling (exercise, without bicycling mentioned in II-12)",Bicycling,,,,,
858,,,,Activities-during the last seven days: Athletic walking,Athletic walking,,,,,
859,,,,Activities-during the last seven days: Running,Running,,,,,
860,,,,"Think about moderate physical activities that make you breathe somewhat harder and may include continuous walking, hiking, dancing, gardening or sport activities. Currently, do you do any physical activities that make you breathe somewhat harder?",,,breathe," walking, hiking, dancing, gardening, sport activities, physical activities",,
861,,,,Do you intend to do physical activities that make you breathe somewhat harder?,,,breathe,physical activities,,
862,,,,"Currently, do you do moderate physical activities that make you breathe somewhat harder for 30 minutes or more on every day or most days of the week? Include all activities with a length of 10 minutes or more.",,,breathe,physical activities,,
863,,,,Do you intend to start with physical activities that make you breathe somewhat harder for 30 minutes or longer next month?,,,breathe,physical activities,,
864,,,,Have you been doing physical activities that make you breathe somewhat harder for 30 minutes or more every day or most days of the week for half a year or longer?,,,breathe,physical activities,,
865,,,,"Now think about sport or other physical activities that make you sweat. Do you work up a sweat during leisure time while being physically active at least once a week? For example: Brisk walking, running, bicycling etc.?",,,sweat,"physical activities, Brisk walking, running, bicycling ",,
866,,,,Do you work up a sweat while being physically active off leisure time at least once a week? (For example: On the job?),,,sweat,physical activity,,
867,,,,Do you intend to start with sport activities that make you work up a sweat?,,,sweat,sport activities,,
868,,,,Do you do sport activities that make you work up a sweat three times per week for 20 minutes or more on a regular basis?,,,sweat,sport activities,,
869,,,,Do you intend to start within the next month with sport activities that make you work up a sweat three times per week for 20 minutes or more?,,,sweat,sport activities,,
870,,,,Do you do sport activities that make you work up a sweat three times a week for 20 min or more since more than half a year?,,,sweat,sport activities,,
871,,,,"During the last seven days, have you been normally, more, or less active",active,,,,,
872,,Flemish Physical Activity Computerized Questionnaire,http://appliedresearch.cancer.gov/paq/q077.html,"In leisure time how many minutes do you usually spend on transportation by bike on a weekday, a weekend day?",, leisure time,,bike,,
873,,,,"In leisure time, how many minutes do you usually spend on transportation on foot on a weekday, a weekend day?",, leisure time,,foot,,
874,,,,How many minutes a day do you usually spend on transportation to and from your main/additional occupation by bike?,,occupation,,bike,,
875,,,,How many minutes a day do you usually spend on transportation to and from your main/additional occupation on foot?,,occupation,,foot,,
876,,California Health Interview Survey 2005,http://appliedresearch.cancer.gov/paq/q075.html,"During the past seven days, did you walk for at least ten minutes at a time to get some place such as work, school, a store, or restaurant?",,"work, school, a store, or restaurant",,walk,,
877,,,,"During the past seven days, did you walk for at least ten minutes at a time to get some place such as work, school, a store, or restaurant; On how many days did you do this?",,"work, school, a store, or restaurant",,walk,,
878,,,,How much time did you {usually} spend walking on {one of those days/that day}?,walking,,,,,
879,,,,"Sometimes you may walk for fun, relaxation, exercise, or to walk the dog. During the past seven days did you walk for at least ten minutes at a time for any of these reasons? Please do not include any walking that you already told me about.",,"walk for fun, relaxation, exercise, or to walk the dog",,,,
880,,,,"During the last 7 days, did you do any moderate physical activities in your free time for at least 10 minutes, other than walking?", physical activities,,,,,
881,,,,"During the last 7 days, did you do any moderate physical activities in your free time for at least 10 minutes, other than walking;  On how many days did you do this?", physical activities,,,,,
882,,,,"Now think about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming. Do not include walking.  days, did you do any vigorous physical activities in your free time?",,free time,,"physical activities, aerobics, running, soccer, fast bicycling, fast swimming",,
883,,,,"Now think about vigorous activities you did in your free time that take hard physical effort, such as aerobics, running, soccer, fast bicycling, or fast swimming. Do not include walking.  days, did you do any vigorous physical activities in your free time; On how many days did you do this?",,free time,," hard physical effort,  aerobics, running, soccer, fast bicycling,  fast swimming.",,
884,,The Brunel Lifestyle Physical Activity Questionnaire,http://appliedresearch.cancer.gov/paq/q074.html,How many times in a normal week do you engage in pre-planned physical activity?,, pre-planned ,,physical activity,,
885,,,,How long have you been engaging in pre-planned physical activity at this weekly rate?,, pre-planned ,,physical activity,,
886,,,,"If you add together each session of pre-planned physical activity that you engage in during a normal week, how much time would you estimate that you spend in total?",, pre-planned ,,physical activity,,
887,,,,"In the past, how long have you generally persisted with a pre-planned physical activity program before giving up?",, pre-planned ,,physical activity,,
888,,,,How vigorously do you engage in pre-planned physical activity?,, pre-planned ,,physical activity,,
889,,,,"In general, what is the duration of each session of pre-planned physical activity that you engage in?",, pre-planned ,,physical activity,,
890,,Black Women's Health Study Survey questions through 2007,http://appliedresearch.cancer.gov/paq/q073.html,"On average, during the past year, how many hours each day did you spend: Walking to and from church, store, school, work","Walking, store, school, work",,,,,
891,,,,"On average, during the past year, how many hours each day did you spend: Walking as part of your job",, job,,Walking,,
892,,,,"On average, during the past year, how many hours each day did you spend: Walking for exercise",Walking,,,,,
893,,,,How many city blocks or their equivalent do you walk each day?,walk,,,,,
894,,,,What is your usual pace of walking? Casual or strolling (less than 2 mph),walking,,,,,
895,,,,What is your usual pace of walking? Average or normal (2 to 3 mph),walking,,,,,
896,,,,What is your usual pace of walking? Brisk or striding (4 mph or faster),walking,,,,,
897,,,,What is your usual pace of walking? Fairly brisk (3 to 4 mph) flights,walking,,,,,
898,,Active Australia Survey: Physical Activity Survey,http://appliedresearch.cancer.gov/paq/q072.html,"IN THE LAST WEEK how many times have you walked continuously, for at least 10 minutes, for recreation, exercise or to get to or from places?",walk,,,to get to or from places,,
899,,,,What do you estimate was the total time that you spent walking in this way IN THE LAST WEEK? [INTERVIEWER: THIS IS 'CONTINUOUS' WALKING],,IN THE LAST WEEK,,walking,,
900,,,,"IN THE LAST WEEK, how many times did you do any vigorous physical activity which made you breathe harder or puff and pant? (e.g. jogging, cycling, aerobics, competitive tennis)",,IN THE LAST WEEK,," breathe, puff and pant, physical activity, jogging, cycling, aerobics, competitive tennis",,
901,,,,What do you estimate was the total time that you spent doing this vigorous physical activity IN THE LAST WEEK?,,IN THE LAST WEEK,, physical activity ,,
902,,Zutphen PAQ,http://appliedresearch.cancer.gov/paq/q071.html,How often did you walk during the last week?,,last week,,walk,,
903,,,,How long did such a walk last? (walk during the last week),walk,,,"walk last, walk during the last week",,
904,,,,Did you take a walk that lasted longer than 1 hour during the last month?,," last month,  lasted longer than 1 hour",,walk,,
905,,,,How often did you do that? (take a walk that lasted longer than 1 hour during the last month),," last month,  lasted longer than 1 hour",,walk,,
906,,,,How often did you bicycle last week?,,last week,,bicycle,,
907,,,,How long did you bicycle? (last week),,last week,,bicycle,,
908,,Yale PA Survey for Older Adults,http://appliedresearch.cancer.gov/paq/q070.html,Exercise:How much time you spent doing this activity during a typical week? Brisk walking (10+ minutes in duration),Brisk walking,,,,,
909,,,,"Exercise:How much time you spent doing this activity during a typical week? Cycling,exercise","activity, cycling, exercise",,,,,
910,,,,Recreational Activities: How much time you spent doing this activity during a typical week? Leisurely walking (10+ minutes in duration),"recreational activities, leisurely walking, walking",,,,,
