id,,Source,Variable,Keywords,Comments,context,intensity,activity type,measure,
18,,Cancer Support Source,"Today, how concerned are you about: moving around (walking, climbing stairs, lifting, etc)?",walking; climbing stairs,,functional status,,"walking, climb stairs",difficulty,
57,,SF-8,"During the past 4 weeks, how much did physical health problems limit your usual physical activities (such as walking or climbing stairs)?",walking; physical activities; climbing stairs,,functional status,,"walking, climb stairs",difficulty,
12,,CARES- SF,I have difficulty walking.,walking,,functional status,,walking,difficulty,
14,,CARES,I have difficulty walking and/or moving around.,walking,,functional status,,walking,difficulty,
15,,CARES,I have difficulty doing physical activities such as running and playing sports.,physical activities; running; playing sports,,functional status,,running; playing sports,difficulty,
51,,EQ-5D,Mobility: I have no problems in walking about,walking,,functional status,,walking,difficulty,
52,,EQ-5D,I have some problems in walking about,walking,,functional status,,walking,difficulty,
55,,Quality of Well-Being Scale-Self Administered,Over the last 3 days did you have trouble climbing stairs or inclines or walking off the curb?,walking,,functional status,,climbing stairs; walking off the curb,difficulty,
56,,Quality of Well-Being Scale-Self Administered,"Over the last 3 days did you avoid walking, have trouble walking, or walk more slowly than other people your age?",walking,,functional status,,walking,difficulty,
102,caDSR,caDSR,Ability to do sports,sport,,functional status,,sports,difficulty,
114,caDSR,caDSR,Does patient have an exercise intolerance,exercise intolerance,,functional status,,exercise,difficulty,
140,caDSR,caDSR,Do you have difficulty doing any of these activities?,activities,,functional status,,activity,difficulty,
153,caDSR,caDSR,"To what extent are you able to carry out your everyday physical activities such as walking, climbing stairs, carrying groceries, or moving a chair?",physical activities; walking; climbing stairs; carrying groceries; moving a chair,,functional status,,physical activities; walking; climbing stairs; carrying groceries; moving a chair,difficulty,
156,caDSR,caDSR,Climbing several flights of stairs,climbing several flights of stairs,,functional status,,climbing several flights of stairs,difficulty,
173,caDSR,caDSR,I have trouble walking,walking,,functional status,,walking,difficulty,
210,caDSR,caDSR,I have trouble walking,walking,,functional status,,walking,difficulty,
223,PDBP,Pediatric Quality of Life Inventory (PedsQL) Child - problems participating in sports activity or exercise frequency - mod baseline CHAI,"During the 4 weeks before the injury, how often did they have problems with participating in sports activity or exercise?",sports;exercise,,functional status,,sports;exercise,difficulty,
224,PDBP,Pediatric Quality of Life Inventory (PedsQL) Teen - problems participating in sports activity or exercise frequency - mod followup CHAI,"In the past month, how often did you have problems with participating in sports activity or exercise?",sports;exercise,,functional status,,sports;exercise,difficulty,
187,caDSR,caDSR,Have you had difficulty standing from a seated position or walking up stairs?,walking up stairs,,functional status,,climb stairs,difficulty in position change,
138,caDSR,caDSR,Walking more than a mile,walking,,active life,,walking,distance,
151,caDSR,caDSR,Walking several blocks,walking,,active life,,walking,distance,
152,caDSR,caDSR,Walking one block,walking,,active life,,walking,distance,
213,caDSR,caDSR,Distance walked,walked,,active life,,walking,distance,
299,PhenX,,Final partial lap distance,lap; distance; exercise capacity; walk test; ,?,fitness,,fitness,distance,
309,PhenX,,Total number of yards walked in 6 minutes,walk,,functional status,,walking,distance,
300,PhenX,,Total distance walked in 6 minutes (Number of laps X 60 meters + Final partial lap distance),walked,,functional status,,walking,distance,
9,,California Health Interview Survey,How much time did you {usually} spend on {one of those days/that day} doing moderate physical activities in your free time?,moderate physical activities,,active life ,moderate,,duration,
95,caDSR,caDSR,Moderate Exercise Average Hours per Week,Moderate exercise,,fitness,moderate,exercise,duration,
26,,Exercise Vital Sign,"On those days that you engage in moderate to strenuous exercise, how many minutes, on average, do you exercise at this level?",moderate to strenuous exercise; exercise,,fitness,moderate to strenuous,brisk walk,duration,
149,caDSR,caDSR,Time usually spent on vigorous physical activity in a day?,physical activity; vigorous physical activity,,active life,vigorous,physical activity; vigorous physical activity,duration,
11,,California Health Interview Survey,How much time did you {usually} spend on {one of those days/that day} doing vigorous physical activities in your free time?,vigorous physical activities,,fitness,vigorous,,duration,
286,PhenX,,"In the past year, on average, how many hours per day did you spend in each of the following activities?",casual walking; doing housework; standing or walking at work; ,,active life,,daily function,duration,
4,,California Health Interview Survey,"How long did that walk take/On average, how long did those walks take?",walk,,active life,,walking,duration,
104,caDSR,caDSR,Other Activities Hours per Day,other activities,,active life,,activity,duration,
142,caDSR,caDSR,Minutes Spent/Activity,activity,,active life,,activity,duration,
181,caDSR,caDSR,Time usually spent on walking in a day?,walking,,active life,,walking,duration,
205,caDSR,caDSR,Walking time,walking,,active life,,walking,duration,
212,caDSR,caDSR,Walk Time:,walk,,active life,,walking,duration,
230,NCCDR,American Time Use Survey (ATUS),Time spent exercising/playing sports with household children,exercising; sports,,active life,,exercising; sports,duration,
239,NCCDR,Health Behaviors in School Aged Children (HBSC),Number of hours of exercise per week,exercise,,active life,,exercise,duration,
182,caDSR,caDSR,Walk or Bike To/From Work (Min/Day),walk; bike,,active life; fitness,,walking;bicycling,duration,
195,caDSR,caDSR,"On average, over the previous year, how much time did you spend walking or bicycling?",walking;bicycling,,active life; fitness,,walking;bicycling,duration,
231,NCCDR,American Time Use Survey (ATUS),Time spent exercising with pets,exercising;,,active life; fitness,,exercising;,duration,
232,NCCDR,American Time Use Survey (ATUS),Time spent in sports and exercise as part of job,exercise; sports,,active life; fitness,,exercise; sports,duration,
233,NCCDR,American Time Use Survey (ATUS),"Time spent on specific recreational/leisure sports and exercise (e.g., biking, walking, aerobics, basketball)",exercise; sports; biking; walking; aerobics; basketball,,active life; fitness,,exercise; sports; biking; walking; aerobics; basketball,duration,
100,caDSR,caDSR,"On average, how many hours per week do you exercise?",exercise,,fitness,,exercise,duration,
129,caDSR,caDSR,Total exercise duration (seconds):,exercise,,fitness,,exercise,duration,
237,NCCDR,Fast Response Survey System (FRSS),Frequency and length of physical education classes,physical education classes,,active life,,physical education classes,duration; frequency,
295,PhenX,,End of Test Dyspnea (from Borg scale),exercise; walk,?,stress test,,walking,dyspnea,
125,caDSR,caDSR,How often did you have enough energy to exercise strenuously,exercise; exercise strenuously,,functional status,strenuous,exercise,energy level,
133,caDSR,caDSR,I have a lot of energy for running or sports,running; sports,,functional status,,running; sports,energy level,
134,caDSR,caDSR,"How much of the time can you keep up with others of your age when taking part in sports or games, running soccer, baseball, biking, etc.?",sports; running soccer; baseball; biking,,functional status,,sports; running soccer; baseball; biking,energy level,
296,PhenX,,End of Test Fatigue (from Borg scale),exercise; walk,?,stress test,,walking,fatigue,
111,caDSR,caDSR,Exercise brings on my fatigue.,exercise,,stress test,,exercise,fatigue,
30,,Rapid Assessment of Physical Activity,"I do some light or moderate physical activities, but not every week.",light or moderate physical activities,,active life, light or moderate,physical activity,frequency,
3,,California Health Interview Survey,"In the past 7 days, how many times did you do that [if needed, say ""walk for at least 10 minutes to get some place.""]",walk,,active life,10 min,walking,frequency,
245,NCCDR,National Health and Nutrition Examination Survey (NHANES),Frequency of physical activity (60 minutes+/day),physical activity,,active life,60min +,physical activity,frequency,
6,,California Health Interview Survey,"In the past 7 days, how many times did you do that? [If needed, say ""walk for at least 10 minutes for fun, relaxation, exercise, or to walk the dog.""]",walk; walk the dog; exercise,,active life,at least 10 min,walking,frequency,
126,caDSR,caDSR,How often do you play or exercise enough to make you sweat and breathe hard?,exercise,,fitness,enough to make you sweat and breath hard,exercise,frequency,
257,NCCDR,Panel Study of Income Dynamics (PSID),Frequency of light and vigorous physical activity,light physical activity; vigorous physical activity; physical activity,,active life,light; vigorous,light physical activity; vigorous physical activity; physical activity,frequency,
139,caDSR,caDSR,Days Per Week of Moderate Physical Activities?,moderate physical activities; physical activities,,active life,moderate,physical activity,frequency,
265,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),"Frequency of sustained (30 minutes or more), moderate exercise (number of days)",moderate exerccise; exercise; sustained exercise,,fitness,moderate,exercise; sustained exercise,frequency,
96,caDSR,caDSR,Moderate Exercise Average Months per Year,Moderate exercise,,fitness,moderate,exercise,frequency,
25,,Exercise Vital Sign,"How many days a week of moderate to strenuous exercise, like a brisk walk, do you typically do?",moderate to strenuous exercise; brisk walk,,fitness,moderate to strenuous,brisk walk,frequency,
274,NCCDR,Behavioral Risk Factor Surveillance System (BRFSS),Frequency of moderate- and vigorous-intensity physical activity,moderate-intensity physical activity; vigorous-intensity physical activity; physical activity,,active life,moderate; vigorous,moderate-intensity physical activity; vigorous-intensity physical activity; physical activity,frequency,
106,caDSR,caDSR,Days Per Week of Vigorous Physical Activities?,vigorous physical activities,,active life,vigorous,physical activity,frequency,
241,NCCDR,Monitoring the Future (MTF),Frequency of vigorous physical activity,physical activity; vigorous physical activity,,active life,vigorous,physical activity; vigorous physical activity,frequency,
264,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),"Frequency of sustained (20 minutes or more), vigorous exercise (number of days)",vigorous exercise; exercise; sustained exercise,,fitness,vigorous,exercise; sustained exercise,frequency,
103,caDSR,caDSR,Other Activities Days per Week,other activities,,active life,,activity,frequency,
180,caDSR,caDSR,Days Per Week of Walking?,walking,,active life,,walking,frequency,
238,NCCDR,Health Behaviors in School Aged Children (HBSC),Frequency of physical activity in past 7 days,physical activity,,active life,,physical activities,frequency,
248,NCCDR,National Longitudinal Survey of Youth 1997 (NLSY97),Frequency of exercise each week,exercise,,active life,,exercise,frequency,
268,NCCDR,comScore,Frequency of exercising,exercising,,active life,,exercising,frequency,
269,NCCDR,California Health Interview Survey (CHIS),Frequency of active methods such as walking or bicycling to/from school,walking; bicycling,,active life,,walking; bicycling,frequency,
270,NCCDR,California Health Interview Survey (CHIS),Frequency of use of parks and physical activity in parks,physical activity,,active life,,physical activity,frequency,
273,NCCDR,California Health Interview Survey (CHIS),"Physical education enrollment, frequency of class, and amount of activity during class",physical education; activity,,active life,,physical education; activity,frequency,
249,NCCDR,National Survey on Recreation and the Environment,"Number of days participated in specific outdoor recreational activity (e.g., walking, hiking, kayaking, backpacking, snowboarding) during the past year",walking; hiking; kayaking; backpacking; snowboarding; outdoor recreational activity,,active life; fitness,,walking; hiking; kayaking; backpacking; snowboarding; outdoor recreational activity,frequency,
253,NCCDR,National Survey on Recreation and the Environment,Frequency of childÕs bicycle riding in past month,bicycle riding,,active life; fitness,,bicycle riding,frequency,
254,NCCDR,National Survey on Recreation and the Environment,Exercise at least 3 times a week,exercise,,active life; fitness,,exercise,frequency,
263,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),Frequency of physical education and average amount of time spent in class exercising or playing sports,physicla education; exercising; sports,,active life; fitness,,physicla education; exercising; sports,frequency,
240,NCCDR,Monitoring the Future (MTF),Frequency of participation in sports or exercise,exercise; sports,,fitness,,exercise; sports,frequency,
63,,Social Activity Log,"In the past month, circle a number for how many times you: Participated in sports with other people you do not live with",sports,,fitness,,team sports,frequency,socialization?
36,,Rapid Assessment of Physical Activity,"I do activities to increase muscle strength, such as lifting weights or calisthenics, once a week or more.",activities to increase muscle strength; lifting weights; calisthenics,,fitness,,activities to increase muscle strength; lifting weights; calisthenics,frequency,
37,,Rapid Assessment of Physical Activity,"I do activities to improve flexibility, such as stretching or yoga, once a week or more.",activities to improve flexibility; stretching; yoga,,fitness,,activities to improve flexibility; stretching; yoga,frequency,
148,caDSR,caDSR,# Times per week (Aerobics),aerobics,,fitness,,aerobics,frequency,
222,PDBP,Participation Assessment with Recombined Tools-Objective (PART-O) - Engage sport exercise outside score,"TBI (F0385): In a typical month how many times do you engage in sports or exercise outside your home? Include activities like running, bowling, going to the gym, swimming, walking for exercise and the like.",sports; exercise; running; bowling; gym; swimming; walking; walking for exercise,,fitness,,sports; exercise; running; bowling; gym; swimming; walking; walking for exercise,frequency,
258,NCCDR,Panel Study of Income Dynamics (PSID),Frequency weight-bearing exercise,weight-bearing exercise,,fitness,,weight-bearing exercise,frequency,
32,,Rapid Assessment of Physical Activity,"I do moderate physical activities every week, but less than 30 minutes a day or 5 days a week.",moderate physical activities,,active life,moderate,physical activity,frequency; duration,
34,,Rapid Assessment of Physical Activity,"I do 30 minutes or more a day of moderate physical activities, 5 or more days a week.",moderate physical activities,,fitness,moderate,physical activity,frequency; duration,
244,NCCDR,National Health and Nutrition Examination Survey (NHANES),Frequency and amount of time spent on vigorous and moderate physical activity,physical activity; vigorous physical activity; moderate physical activity,,active life,moderate; vigorous,physical activity; vigorous physical activity; moderate physical activity,frequency; duration,
33,,Rapid Assessment of Physical Activity,"I do vigorous physical activities every week, but less than 20 minutes a day or 3 days a week.",vigorous physical activities,,active life,vigorous,physical activity,frequency; duration,
35,,Rapid Assessment of Physical Activity,"I do 20 minutes or more a day of vigorous physical activities, 3 or more days a week.",vigorous physical activities,,fitness,vigorous,physical activity,frequency; duration,
262,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),Frequency of physical activity for 60 or more minutes per day,Physical activity,,active life,,Physical activity,frequency; duration,
261,NCCDR,Youth Risk Behavior Surveillance System/Youth Risk Behavior Survey (YRBSS/YRBS),Frequency of physical activity (number of days respondent spent 60 minutes or more exercising),Physical activity; exercising,,active life; fitness,,Physical activity; exercising,frequency; duration,
164,caDSR,caDSR,How many flights of stairs (not individual steps) do you climb daily,flights of stairs; climb,,active life,,climbing flight of stairs,how many flights,
280,PhenX,,ParticipantÕs heart rate during 4 minute warm up,warm up,,stress test,4 min,warm up,HR,
320,PhenX,,ParticipantÕs heart rate immediately after the walk,walk,,functional status,,walking,HR,
277,PhenX,,ParticipantÕs heart rate during the last 10 minutes of the walk as shown on heart rate monitor,walk,,stress test,,,HR,
28,,Physical Activity Vital Sign,"How many days in the past week have you performed physical activity where your heart beats faster and your breathing is harder than normal for 30 minutes or more? (In 3, 10 minute bouts, or one 30-minute bout)",physical activity,,stress test,,physical activity,HR; BR,
115,caDSR,caDSR,Exercise testing for evaluation of hypoxemia and/or desaturation that occurs on exertion,exercise,,functional status,exertion,exercise,hypoxemia; desaturation,
354,PhenX,,Hard Activity (Increased breathing and moderate movement),hard activity,,active life,hard activity,moderate movement,increased breathing,
105,caDSR,caDSR,Activity Level,activity level,,active life,,activity,intensity,
143,caDSR,caDSR,Activity Intensity,activity intensity,,active life,,activity,intensity,
155,caDSR,caDSR,An assessment of all recent physical activities and the intensity of those activities.,physical activities,,active life,,physical activities,"intensity, type",
226,PDBP,Child and Adolescent Scale of Participation (CASP) - neighborhood activities scale - mod baseline CHAI,"Compared to other children your child's age, what was (his/her) level of participation before the injury in structured events and activities in the neighborhood and community (eg, team sports, clubs, holiday or religious events, concerts, parades and fairs)? ",team sports; parades and fairs,,functional status,,team sports; parades and fairs,level of participation before injury,
137,caDSR,caDSR,I have to limit my physical activity because of diarrhea,physical activity,,barrier,,physical activity,limit caused by physical condition,
144,caDSR,caDSR,Do you know of any other reason why you should NOT do physical activity?,physical activity,,barrier,,physical activity,limit caused by physical condition,
145,caDSR,caDSR,Do you have a bone or joint problem that could be made worse by a change in your physical activity?,physical activity,,barrier,,physical activity,limit caused by physical condition,
146,caDSR,caDSR,Do you feel pain in your chest when you do physical activity?,physical activity,,barrier,,physical activity,limit caused by physical condition,
147,caDSR,caDSR,"In the past month, have you had chest pain when you were not doing physical activity?",physical activity,,barrier,,physical activity,limit caused by physical condition,
157,caDSR,caDSR,Does your health limit you in terms of climbing several flights of stairs?,climbing several flights of stairs,,barrier,,climbing several flights of stairs,limit caused by physical condition,
179,caDSR,caDSR,I have trouble walking because of pain,walking,,barrier,,walking,limit caused by physical condition,
185,caDSR,caDSR,"Does the patient have other clinical conditions limiting ability to walk (recent leg fracture, significant osteoarthritis, related orthopedic conditions, degenerative neurological conditions, etc.)?",walk,,barrier,,walk,limit caused by physical condition,
228,PDBP,Functional Disability Inventory (FDI) - child sports scale,HEADACHE (F1384): Would you have had physical trouble or difficulty doing the activities in gym class?,activities; gym class; gym,,barrier,,activities; gym class; gym,limit caused by physical condition,
229,PDBP,Functional Disability Inventory (FDI) - parent form child difficulty sports scale,HEADACHE (F1383): Would your child have had physical trouble or difficulty doing the activities in gym class (or playing sports)?,activities; gym class; gym; sports,,barrier,,activities; gym class; gym; sports,limit caused by physical condition,
234,NCCDR,American Time Use Survey (ATUS),Pain experienced while engaging in physical activity,physical activity,,barrier,,physical activity,limit caused by physical condition,
288,PhenX,,Supplemental oxygen during the test,exercise capacity; walk test,,stress test,,walking,O2 suppl,
289,PhenX,,Supplemental oxygen during the test flow,exercise capacity; walk test,,stress test,,walking,O2 suppl,
120,caDSR,caDSR,What is your usual walking pace outdoors,walking pace,,fitness,,walking outdoor,pace,
124,caDSR,caDSR,"Before the patient was sick, how many days per week did the patient exercise for 20 minutes or longer?",exercise,,functional status,20 min or longer,exercise,pattern change,
130,caDSR,caDSR,Exercise peak pulse rate,exercise,,stress test,,exercise,Peak PR,
131,caDSR,caDSR,Exercise peak systolic blood pressure,exercise,,stress test,,exercise,Peak SBP,
101,caDSR,caDSR,Do you exercise regularly?,exercise,,fitness,,exercise,regularity,
322,PhenX,,Number of curl-ups,curl ups,,fitness,,curl ups,repeats,
308,PhenX,,Total number of curls made correctly within 30 seconds,arm curl,,functional status,,fitness,repeats,
326,PhenX,,Number of modified pull-ups completed,pull-ups,,functional status,,pull ups,repeats,
303,PhenX,,Number of push-ups completed,push-ups,,functional status,,push ups,repeats,
324,PhenX,,Number of push-ups,push-ups,,functional status,,push ups,repeats,
58,,Short Form 36,"Does your health now limit you in these activities: Vigorous activities, such as running, lifting heavy objects, participating in strenuous sports",vigorous activities; running; strenuous sports; lifting heavy objects,,functional status,vigorous,vigorous activities; running; strenuous sports; lifting heavy objects,running; strenuous sports; lifting heavy objects,
107,caDSR,caDSR,A measure of a person's confidence in their ability to exercise on a regular basis - Adolescent Protocol,exercise,,fitness,,regular exercise,self efficacy,
108,caDSR,caDSR,A measure of a person's confidence in their ability to exercise on a regular basis.,exercise,,fitness,,regular exercise,self efficacy,
78,REDCap,St. George's Respiratory Questionnaire (SGRQ),Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking in the house,Walking,,functional status,,walking in the house,SOB,
79,REDCap,St. George's Respiratory Questionnaire (SGRQ),Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking outside on level ground,Walking,,functional status,,Walking outside on level ground,SOB,
80,REDCap,St. George's Respiratory Questionnaire (SGRQ),Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking up a flight of stairs,Walking; walking up a flight of stairs,,functional status,,walking up a flight of stairs,SOB,
81,REDCap,St. George's Respiratory Questionnaire (SGRQ),Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Walking up hills,Walking; walking up hills,,functional status,,walking up hills,SOB,
82,REDCap,St. George's Respiratory Questionnaire (SGRQ),"Section 2: These are questions about what activities usually make you feel short of breath. Mark either True or False as it applied to you now. Playing sports or active games (baseball, tennis, etc.)",sports; active games; baseball; tennis,,functional status,,sports; active games; baseball; tennis,SOB,
188,caDSR,caDSR,Shortness of breath with walking around your home and activities of daily living?,walking; activities,,functional status,,walking; activities,SOB,
47,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Planned for exercise on recreational outings.",exercise; recreational outings,,active life,,leisure,social,
206,caDSR,caDSR,Walking speed,walking,,active life,,walking,speed,
319,PhenX,,Time to complete entire 1 mile run,run; aerobic capacity,,functional status,,running,speed,
278,PhenX,,Time to complete entire 1 mile walk,walk,,functional status,,walking,speed,
321,PhenX,,Time to complete entire 1 mile walk,walk; aerobic capacity,,functional status,,walking,speed,
279,PhenX,,Treadmill speed during warm up,warm up; treadmill; warm up,,stress test,,warm up; treadmill,speed,
297,PhenX,,End of Test Oxygen Saturation (SpO2),exercise; walk,?,stress test,,walking,SpO2,
110,caDSR,caDSR,Exercise SpO2,exercise,,stress test,,exercise,spO2,
112,caDSR,caDSR,Resting or Exercise Arterial pO2 <= 55 mm Hg or SpO2 <= 88%,exercise,,stress test,,exercise,spO2; pO2,
38,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Exercised with me.",exercise,,arrangement,,exercise,support,
39,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Offered to exercise with me.",exercise,,arrangement,,exercise,support,
40,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Gave me helpful reminders to exercise (""Are you going to exercise tonight?"").",exercise,,arrangement,,exercise,support,
41,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Gave me encouragement to stick with my exercise program.",exercise,,arrangement,,exercise,support,
42,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Changed their schedule so we could exercise together.",exercise,,arrangement,,exercise,support,
43,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Discussed exercise with me.",exercise,,arrangement,,exercise,support,
44,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Complained about the time I spend exercising.",exercise,,arrangement,,exercise,support,
45,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Criticized me or made fun of me for exercising.",exercise,,arrangement,,exercise,support,
46,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Gave me rewards for exercising (bought me something or gave me something I like).",exercise,,arrangement,,exercise,support,
48,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Helped plan activities around my exercise.",exercise,,arrangement,,exercise,support,
49,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Asked me for ideas on how they can get more exercise.",exercise,,arrangement,,exercise,support,
50,,Social Support and Exercise,"During the past three months, my family (or members of my household) or friends: Talked about how much they like to exercise.",exercise,,arrangement,,exercise,support,
24,,Chronic Illness Resources Survey,"Over the past 6 months, to what extent: Has your workplace had rules or policies that made it easier for you to manage your illness (such as no smoking rules or time off work to exercise)?",exercise,,arrangement,,exercise,to what extent,delete
116,caDSR,caDSR,Exercise Type,exercise,,fitness,,exercise,type,
99,caDSR,caDSR,What kind of exercise do you typically do?,exercise,,fitness,,exercise,types,
294,PhenX,,End of Test Heart Rate,exercise; walk,?,stress test,,walking,v/s,
197,caDSR,caDSR,Walk Velocity % Predicted - 2 minutes,walk,,functional status,2 min,walking,velocity % predicted,
198,caDSR,caDSR,Walk Velocity % Predicted - 6 minutes,walk,,functional status,6 min,walking,velocity % predicted,
31,,Rapid Assessment of Physical Activity,I do some light physical activity every week.,light physical activity,,active life, light,physical activity,,
284,PhenX,,"How often did you participate in STRENUOUS exercise activities or sports (e.g., swimming laps, aerobics, calisthenics, running, jogging, basketball, cycling on hills, racquetball)?",strenuous; strenuous exercise; activites; sports; swimming; aerobics; calisthenics; running; jogging; basketball; cycling on hills; racquetball; ,,active life; fitness, strenuous,sports; swimming; aerobics; calisthenics; running; jogging; basketball; cycling on hills; racquetball; ,,
2,,California Health Interview Survey,"During the past 7 days, did you walk to get some place that took you at least 10 minutes?",walk,,active life,10 min,walking,,
159,caDSR,caDSR,Running (10-minute miles or faster),running,,fitness,10 min miles or faster,running,,(don't understand the intensity unit)
168,caDSR,caDSR,Running (10-minute miles or faster),running,,fitness,10 min miles or faster,running,,
163,caDSR,caDSR,Jogging (slower than 10-minute mile),jogging,,fitness,10 min miles or slower,jogging,,
172,caDSR,caDSR,Walking one hundred yards,walking,,active life,100 yard,walking,,
204,caDSR,caDSR,Walking on a level with others your age,walking,,arrangement,a level,walk,,
5,,California Health Interview Survey,"Sometimes you may walk for fun, relaxation, exercise, or to walk the dog.  During the past 7 days, did you walk for at least 10 minutes for any of these reasons?",walk; walk the dog; exercise,"curious to see the impact of ""walk the dog"" ",active life,at least 10 min,walking,,
169,caDSR,caDSR,"Has the patient participated in a marathon, triathalon, or other endurance-related physical activity within the last 24 months?",marathon; triathalon; endurance related physical activity,,fitness,endurance,marathon; triathalon; endurance related physical activity,,
