ID,Source,Questionaire name,Website/Source,Variable/Variable Question,Activity,Environment,Physical Function,Other Keyword,Comments,PAQ = physical activity questionnaire,
356,,,,"How many times did you do it in the last 4 weeks: Walk, include on a treadmill and walking to the store?",walking,,,"treadmill, to a store",,,
357,,,,How much time did you spend on this activity each time (on average): walking (include on a treadmill and walking to the store)?,walking,,,"treadmill, to a store",,,
358,,,,Did you do it in the last 4 weeks: bicycling for pleasure or transportation?,bicycling,,,"pleasure, transportation",,,
359,,,,How many times did you do it in the last 4 weeks: bicycling for pleasure or transportation?,bicycling,,,"pleasure, transportation",,,
360,,,,How much time did you spend on this activity each time (on average): bicycling for pleasure or transportation?,bicycling,,,"pleasure, transportation",,,
361,,,,Did you do it in the last 4 weeks: hiking?,hiking,,,,,,
362,,,,How many times did you do it in the last 4 weeks: hiking?,hiking,,,,,,
363,,,,How much time did you spend on this activity each time (on average): hiking?,hiking,,,,,,
364,,Auckland Heart Study (AHS) PAQ,http://www.rnzcgp.org.nz/assets/Uploads/NZFP/June2003/Elley_June03.pdf,How many minutes per day would you spend walking to work?,walking,,,work,,,
365,,,,How many days per week do you spend walking to work?,walking,,,work,,,
366,,,,Have you done any brisk walking on a regular basis = once per 2 weeks in last 3 months,walking,,,,,,
367,,,,Minutes per day you have done brisk walking on a regular basis = once per 2 weeks,walking,,,,,,
368,,,,Number of days per week that you have done any brisk walking on a regular basis.,walking,,,,,,
369,,,,How many hours did you spend (brisk walking) in an average week?,walking,,,,,,
370,,Baecke PAQ,http://appliedresearch.cancer.gov/paq/q005.html,"How many minutes do you walk or cycle per day to and from work, school and shopping?","walking, bicycling",,,"to and from work, school, shopping",,,
371,,Behavioral Risk Factor Surveillance System Historical Questions,http://apps.nccd.cdc.gov/BRFSSQuest/ResultsV.asp?StartPg=1&EndPg=10&TopicID=30&fromyr=Any&toyr=Any&Text=&Join=AND&SUBMIT1=+Go+,"In a usual week, do you walk for at least 10 minutes at a time for recreation, exercise.....",walking,,,"recreation, exercise",,,
372,,,,How many days per week do you walk for at least 10 minutes at a time?,walking,,,,,,
373,,,,"On days when you walk for at least 10 minutes, how much total time per day do you spend walking?",walking,,,,,,
374,,Campbell Survey on Well-Being in Canada PA Monitor,http://www.cflri.ca/pdf/e/88paquestion.pdf,Have you done any of the activities in the past 12 months? Walking for exercise,walking,,,exercise,,,
375,,,,Number of times each month you have (walked for exercise)?,walking,,,exercise,,,
376,,,,Average time per occasion you have (walked for exercise)?,walking,,,exercise,,,
377,,,,Have you done any of the activities in the past 12 months? Bicycling,bicycling,,,,,,
378,,,,Number of times each month you have (bicycled)?,bicycling,,,,,,
379,,,,Average time per occasion you have (bicycled)?,bicycling,,,,,,
380,,CANADA Fitness Survey Questionnaire,http://www.cflri.ca/pdf/e/81paquestion.pdf,Activities in the past year: Walking for exercise: # of occasions in last 12 months.,walking,,,exercise,,,
381,,,,Activities in the past year: Walking for exercise / # times each month,walking,,,exercise,,,
382,,,,Activities in the past year: Walking for exercise / Average # of minutes spent on each occasion.,walking,,,exercise,,,
383,,,,Activities in the past year: Bicycling: # of occasions in last 12 months.,bicycling,,,,,,
384,,,,Activities in the past year: Bicycling: # times each month,bicycling,,,,,,
385,,,,Activities in the past year: Bicycling / Average # of minutes spent on each occasion.,bicycling,,,,,,
386,,CARDIA PAQ,http://www.cardia.dopm.uab.edu/DOC/D10044.PDF,Did you bike faster than 10miles/hr in the past 12 months for at least 1 hr?,bicycling,,,,,,
387,,,,Activities in the past year: How many months did you do this activity? Bike faster than 10miles/hr for at least 1 hr,bicycling,,,,,,
388,,,,Activities in the past year:How many of these months were for at least 3 hours per week? Bike faster than 10miles/hr for at least 1 hr,bicycling,,,,,,
389,,,,Leisurely Activities: Did you do leisurely biking in the past 12 months for at least one hour?,bicycling,,,leisure,,,
390,,,,How many months did you do this activity? Leisurely biking in the past 12 months for at least one hour,bicycling,,,leisure,,,
391,,,,How many of these months were for at least 3 hours per week? Leisurely biking in the past 12 months,bicycling,,,leisure,,,
392,,,,Did you take walks or hikes or walk to work in the 12 months for at least 1 hour total time?,walking,,,"hikes, to work",,,
393,,,,How many of these months did you do this activity? Take walks or hikes or walk to work in the 12 months for at least 1 hour total time,walking,,,"hikes, to work",,,
394,,,,How many of these months were for at least 4 hours per week? Take walks or hikes or walk to work in the 12 months,walking,,,"hikes, to work",,,
395,,Central Sweden PAQ,http://appliedresearch.cancer.gov/paq/q014.html,"Mark your usual physical activity during the previous year. Mostly walking, lifts, carry little","walking, lifting",,,carry little,,,
396,,,,Mark your usual physical activity during the previous year. Walking/Bicycling,"walking, bicycling",,,,,,
397,,CHAMPS Activities Questionaire for Older Adults,http://www.ucsf.edu/champs/resources/qxn/pdfs/champs_englishqxn_26Dec02.doc,In a typical week in the last 4 weeks did you - Walk uphill or hike uphill ?,walking,,,"hike, uphill",,,
398,,,,In a typical week in the last 4 weeks how many times a week week did you - Walk uphill or hike uphill ?,walking,,,"hike, uphill",,,
399,,,,In a typical week in the last 4 weeks how many total hours per week did you - Walk uphill or hike uphill ?,walking,,,"hike, uphill",,,
400,,,,In a typical week in the last 4 weeks did you - Walk fast or briskly for exercise?,walking,,,exercise,,,
401,,,,"In a typical week, in the last 4 weeks, how many times a week did you walk fast or briskly for exercise?",walking,,,exercise,,,
402,,,,In a typical week in the last 4 weeks how many total hours per week did you - Walk fast or briskly for exercise?,walking,,,exercise,,,
403,,,,In a typical week in the last 4 weeks did you walk to do errands?,walking,,,errands,,,
404,,,,In a typical week in the last 4 weeks how many times a week week did you - Walk to do errands?,walking,,,errands,,,
405,,,,"In a typical week, in the last 4 weeks, how many total hours per week did you walk to do errands?",walking,,,errands,,,
406,,,,"In a typical week, in the last 4 weeks, did you walk leisurely for exercise or pleasure?",walking,,,"leisure, exercise, pleasure",,,
407,,,,"In a typical week, in the last 4 weeks, how many times a week week did you walk leisurely for exercise or pleasure?",walking,,,"leisure, exercise, pleasure",,,
408,,,,"In a typical week, in the last 4 weeks, how many total hours per week did you walk leisurely for exercise or pleasure?",walking,,,"leisure, exercise, pleasure",,,
409,,,,"In a typical week, in the last 4 weeks, did you ride a bike?",biking,,,,,,
410,,,,"In a typical week, in the last 4 weeks, how many times a week did you ride a bike?",biking,,,,,,
411,,,,"In a typical week, in the last 4 weeks, how many total hours per week did you ride a bike?",biking,,,,,,
412,,EPIC PAQ,http://appliedresearch.cancer.gov/paq/q016.html,"In a typical week, during the last 12 months, (in the summer), how many hours (hr/week) did you spend on each activity: walking?",walking,,,,,,
413,,,,"In a typical week during the last 12 months (in the winter), how many hours (hr/week) did you spend on each activity: walking?",walking,,,,,,
414,,,,"In a typical week during the last 12 months (in the summer), how many hours (hr/week) did you spend on each activity: cycling?",cycling,,,,,,
415,,,,"In a typical week during the last 12 months (in the winter), how many hours (hr/week) did you spend on each activity: cycling?",cycling,,,,,,
416,,,,In a typical week during the past year did you practice any of these activities vigorously? (Walking/Biking),"walking, bicycling",,,,,,
417,,,,How many hours per week in total did you practice such vigorous physical activities? (Walking/Biking),"walking, bicycling",,,,,,
418,,EPIC-NORFOLK PAQ,http://www.srl.cam.ac.uk/epic/questionnaires/epaq2/epaq2.pdf,Activity levels at work: Do you walk at work carrying nothing heavier than a breifcase....?,walking,,,"carrying, heavier than a briefcase",,,
419,,,,Activity levels at work: hours per week you walk at work carrying nothing heavier than a breifcase....?,walking,,,"carrying, heavier than a briefcase",,,
420,,,,Activity levels at work: Do you walk at work carrying something heavy?,walking,,,carrying something heavy,,,
421,,,,Activity levels at work: hours per week you walk at work carrying something heavy?,walking,,,carrying something heavy,,,
422,,,,Recreation: Number of times you did the activity in the last 12 months: walking for pleasure?,walking,,,pleasure,,,
423,,,,Recreation: Average time per episode you did the activity in the last 12 months: walking for pleasure?,walking,,,pleasure,,,
424,,,,Recreation: Number of times you did the activity in the last 12 months: racing or rough terrain cycling?,cycling,,,,,,
425,,,,Recreation: Average time per episode you did the activity in the last 12 months: racing or rough terrain cycling?,"racing, cycling",,,,,,
426,,,,Recreation: Number of times you did the activity in the last 12 months: cycling for pleasure?,cycling,,,pleasure,,,
427,,,,Recreation: Average time per episode you did the activity in the last 12 months: cycling for pleasure?,cycling,,,pleasure,,,
428,,The Family Breast and Ovarian Cancer Study,http://dceg.cancer.gov/modules/LongForm.pdf,Strenuous Exercise: How often did you participate in strenuous activities? (cycling on hills) Please estimate the average amount of time each week.,strenuous activities,,,cycling on hills,,,
429,,,,Strenuous Exercise: How often did you participate in strenuous activities? (cycling on hills) Please estimate the average number of months each year.,strenuous activities,,,cycling on hills,,,
430,,,,"Moderate Exercise: How often did you participate in moderate activities? (Brisk walking, cycling) Please estimate the average amount of time each week.",moderate activities,,,"walking, cycling",,,
431,,,,"Moderate Exercise: How often did you participate in moderate activities? (Brisk walking, cycling) Please estimate the average number of months each year.",moderate activities,,,"walking, cycling",,,
432,,,,"Other Activities: In the past year, on average, how many hours per day did you spend in each of the following: casual walking?",casual walking,,,,,,
433,,,,Other Activities: How many days per week did you spend in each of the following: casual walking?,casual walking,,,,,,
434,,Historical Leisure Activity Questionnaire,http://appliedresearch.cancer.gov/paq/q024.html,Historical Activities; Number of years bicycling (see Age periods),bicycling,,,,,,
435,,,,Historical Activities; Number of months per year bicycling (see Age periods),bicycling,,,,,,
436,,,,Historical Activities; Number of hours per week bicycling (see Age periods),bicycling,,,,,,
437,,,,Historical Activities;Number of years walking for exercise (see Age periods),walking,,,exercise,,,
438,,,,Historical Activities; Number of months per year walking for exercise (see Age periods),walking,,,exercise,,,
439,,,,Historical Activities; Number of hours per week walking for exercise (see Age periods),walking,,,exercise,,,
440,,Historical PA Survey,http://appliedresearch.cancer.gov/paq/q025.html,How many miles did you normally walk each day? (at various age periods),walking,,,miles,,,
441,,,,Activities you participated in with any regularity: number of years walking for exercise? (at various age periods),walking,,,exercise,,,
442,,,,Activities you participated in with any regularity: number of months per year walking for exercise (at various age periods),walking,,,exercise,,,
443,,,,Activities you participated in with any regularity: number of hours per month walking for exercise (at various age periods),walking,,,exercise,,,
444,,,,Activities you participated in with any regularity: number of years bicycling? (at various age periods),bicycling,,,,,,
445,,,,Activities you participated in with any regularity: number of months per year bicycling (at various age periods),bicycling,,,,,,
446,,,,Activities you participated in with any regularity: number of hours per month bicycling (at various age periods),bicycling,,,,,,
447,,International PAQ (Long-Self Administered),http://www.ipaq.ki.se/downloads.htm,"During the last 7 days, on how many days did you walk for at least 10 minutes as part of your work?",walking,,,work,,,
448,,,,How much time did you usually spend on one of those days walking as part of work?,walking,,,work,,,
449,,,,"During the last 7 days, on how many days did you bicycle for at least 10 minutes, to go from place to place?",bicycling,,,,,,
450,,,,How much time did you usually spend on one of those days to bicycle from place to place?,bicycling,,,,,,
451,,,,How much time did you usually spend walking on one of those days walking from place to place?,walking,,,,,,
452,,,,"During the last 7 days, on how many days did you walk for at least 10 minutes in your leisure time?",walking,,,leisure,,,
453,,,,How much time did you usually spend walking on one of those days walking in your leisure time?,walking,,,leisure,,,
454,,,,"During the last 7 days, on how many days did you do vigorous physical activities; for at least 10 minutes? (Biking)",vigorous physical activities,,,biking,,,
455,,,,How much time did you usually spend walking on one of those days doing vigorous physical activities in your leisure time? (Biking),vigorous physical activities,,,"leisure, biking",,,
456,,,,"During the last 7 days, on how many days did you do moderate physical activities; for at least 10 minutes? (Biking)",moderate physical activities,,,biking,,,
457,,,,How much time did you usually spend on one of those days doing moderate physical activities in your leisure time? (Biking),moderate physical activities,,,"leisure, biking",,,
458,,International PAQ (Short-Telephone),http://www.ipaq.ki.se/downloads.htm,"During the last 7 days, on how many days did you walk for at least 10 minutes at a time?",walking,,,,,,
459,,,,How much time did you usually spend walking on one of those days?,walking,,,,,,
460,,International PAQ (Long-Telephone),http://www.ipaq.ki.se/downloads.htm,What is the total amount of time you spent walking over the last 7 days as part of your work?,walking,,,work,,,
461,,,,How much time did you usually spend walking on one of those days to bicycle from place to place?,"walking, bicycling",,,,,,
462,,,,What is the total amount of time you spent over the last 7 days walking from place to place?,walking,,,,,,
463,,,,What is the total amount of time you spent over the last 7 days walking for leisure?,walking,,,leisure,,,
464,,Kaiser PA Survey,http://appliedresearch.cancer.gov/paq/q030.html,"How many minutes a day do you usually walk/bike to and from work, school or errands?","walking, bicycling",,,"work, school, errands",,,
465,,,,Did you walk for at least 15 minutes at a time?,walking,,,,,,
466,,,,Did you bike for at least 15 minutes at a time?,bicycling,,,,,,
467,,KUPPIO Ischmic Heart Disease (KIHD) Seven-day PAQ,http://appliedresearch.cancer.gov/paq/q031.html,How much of your leisure-time did you spend performing the following specific activities last week: walking on work trips?,walking,,,"leisure, work",,,
468,,,,How much of your leisure-time did you spend performing the following specific activities last week: conditioning walking?,walking,,,leisure,,,
469,,,,How much of your leisure-time did you spend performing the following specific activities last week: conditioning bycycling?,bicycling,,,leisure,,,
470,,,,How much of your leisure-time did you spend performing the following specific activities last week: bicycling on work trips?,bicycling,,,leisure,,,
471,,,,How many kilometers did you perform following physical activities last week? walking,walking,,,,,,
472,,,,How many kilometers did you perform following physical activities last week? bicycling,bicycling,,,,,,
473,,KIHD 12 Month Leisure-time PA History,http://appliedresearch.cancer.gov/paq/q032.html,How many times per month: walking on work trips?,walking,,,work,,,
474,,,,What duration per month: walking on work trips?,walking,,,work,,,
475,,,,How many times per month: conditioning walking ?,walking,,,,,,
476,,,,What duration per month: conditioning walking ?,walking,,,,,,
477,,,,How many times per month: bicycling?,bicycling,,,,,,
478,,,,How many times per month: bicycling on work trips?,bicycling,,,work,,,
479,,,,What duration per month: bicycling on work trips?,bicycling,,,work,,,
480,,KIHD 24 Hour Total PA Record,http://appliedresearch.cancer.gov/paq/q033.html,Record all activity for each 30 minute period per day: upright activities (walking slowly),upright activities,,,walking,,,
481,,,,Record all activity for each 30 minute period per day: walking/light bicycling,"walking, bicycling",,,,,,
482,,,,Record all activity for each 30 minute period per day: walking with heavy load and lifting,walking,,,"heavy load, lifting",,,
483,,KIHD Occupational PA Interview,http://appliedresearch.cancer.gov/paq/q034.html,Estimate the average duration for all the activities performed in a typical work-day ie. walking on a level ground.,walking,,,"work, level ground",,,
484,,,,Estimate the average duration for all the activities performed in a typical work-day ie. Walking on uneven ground,walking,,,"work, uneven ground",,,
485,,,,Estimate the average duration for all the activities performed in a typical work-day ie. Climbing stairs,climbing stairs,,,work,,,
486,,Lifetime PAQ,http://dceg.cancer.gov/modules/Lifetime_PA.pdf,Activities you have participated in more than 10 times in a lifetime: Have you participated in walking for exercise,walking,,,exercise,,,
487,,,,"During the past year, number of months you have you participated in walking for exercise",walking,,,exercise,,,
488,,,,"During the past year, number of hours per week you have you participated in walking for exercise?",walking,,,exercise,,,
489,,Longitudinal Aging Study Amsterdam (LASA) PAQ,http://ssg.scw.vu.nl/lasa/lasa_variables_physical_activity_lapaq_questionnaire_english.pdf,Did you walk during the past 2 weeks?,walking,,,,,,
490,,,,How many times did you walk during the past 2 weeks?,walking,,,,,,
491,,,,How long do you usually walk each time?,walking,,,,,,
492,,,,Did you cycle in the past 2 weeks?,cycling,,,,,,
493,,,,How many times did you cycle in the past 2 weeks?,cycling,,,,,,
494,,,,How long do you usually cycle each time?,cycling,,,,,,
495,,Minnesota Leisure-Time PAQ,http://appliedresearch.cancer.gov/paq/q038.html,Did you perform this activity in the last 12 months: walk for pleasure?,walking,,,pleasure,,,
496,,,,Number of months of activity per year: Walk for pleasure?,walking,,,pleasure,,,
497,,,,Average number of times per month: Walk for pleasure?,walking,,,pleasure,,,
498,,,,Amount of time per occasion: Walk for pleasure?,walking,,,pleasure,,,
499,,,,Did you perform this activity in the last 12 months: walk to work?,walking,,,work,,,
500,,,,Number of months of activity per year: walk to work?,walking,,,work,,,
501,,,,Average number of times per month: walk to work?,walking,,,work,,,
502,,,,Amount of time per occasion: Walk to work?,walking,,,work,,,
503,,,,Did you perform this activity in the last 12 months: walk during work breaks?,walking,,,work breaks,,,
504,,,,Number of months of activity per year: walk during work breaks?,walking,,,work breaks,,,
505,,,,Average number of times per month: walk during work breaks?,walking,,,work breaks,,,
506,,,,Amount of time per occasion: Walk during work breaks?,walking,,,work breaks,,,
507,,,,Did you perform this activity in the last 12 months: bicycling to work or for pleasure?,bicycling,,,pleasure,,,
508,,,,Number of months of activity per year: bicycling to work or for pleasure?,bicycling,,,pleasure,,,
509,,,,Average number of times per month: bicycling to work or for pleasure?,bicycling,,,pleasure,,,
510,,,,Amount of time per occasion: bicycling to work or for pleasure?,bicycling,,,pleasure,,,
511,,,,Did you perform this activity in the last 12 months: jog/walk combination?,jogging/walking,,,,,,
512,,,,Number of months of activity per year: jog/walk combination?,jogging/walking,,,,,,
513,,,,Average number of times per month: jog/walk combination?,jogging/walking,,,,,,
514,,,,Amount of time per occasion: jog/walk combination?,jogging/walking,,,,,,
515,,Modifiable Activity Questionnaire,http://appliedresearch.cancer.gov/paq/q039.html,Activities you have done more than 10 times in the past year: bicycling for exercise?,bicycling,,,exercise,,,
516,,,,Check the months you did each activity over the past year: bicycling for exercise?,bicycling,,,exercise,,,
517,,,,Average number of times per month: bicycling for exercise?,bicycling,,,exercise,,,
518,,,,Average number of minutes each time: bicycling for exercise?,bicycling,,,exercise,,,
519,,,,Activity you have done more than 10 times in the past year: walking for exercise?,walking,,,exercise,,,
520,,,,Check the months you did each activity over the past year: walking for exercise?,walking,,,exercise,,,
521,,,,Average number of times per month: walking for exercise?,walking,,,exercise,,,
522,,,,Average number of minutes each time: walking for exercise?,walking,,,exercise,,,
523,,,,"Occasional/short distance walking on job: for this job category, minutes per day you walk or bike to/from work?","walking, bicycling",,,work,,,
524,,,,"Continuous walking on job: for this job category, minutes per day you walk or bike to/from work?","walking, bicycling",,,work,,,
525,,Modifiable Activity Questionnaire/Pima Indian,http://appliedresearch.cancer.gov/paq/q040.html,Activity Survey - Occupational activities: average months in past year you walk or bike to work?,"walking, bicycling",,,work,,,
526,,,,Activity Survey - Occupational activities: average days in past week you walk or bike to work?,"walking, bicycling",,,work,,,
527,,,,Activity Survey - Occupational activities: average minutes per day you walk or bike to work?,"walking, bicycling",,,work,,,
528,,,,Activity Survey-Leisure Activity: Number of years per age period (12-18) (19-34)(35-49(>50) you bicycled.,bicycling,,,leisure,,,
529,,,,Activity Survey-Leisure Activity: Number of months per year you bicycled.,bicycling,,,leisure,,,
530,,,,Activity Survey-Leisure Activity: Number of hours per week you bicycled.,bicycling,,,leisure,,,
531,,,,Activity Survey-Leisure Activity: Number of years per age period (12-18) (19-34)(35-49(>50) you walked.,walking,,,leisure,,,
532,,,,Activity Survey-Leisure Activity: Number of months per year you walked.,walking,,,leisure,,,
533,,,,Activity Survey-Leisure Activity: Number of hours per week you walked.,walking,,,leisure,,,
534,,Monica Optional Study of PA (MOSPA),http://appliedresearch.cancer.gov/paq/q041.html,"Occupational PA: On a typical day at work, how much time do you spend walking?",walking,,,work,,,
535,,,,"Going to or from work, school or shopping, how much time do you spend walking each day?",walking,,,"to or from work, school, shopping",,,
536,,,,"Going to or from work, school and shopping, how much time do you spend bicycling each day?",bicycling,,,"to or from work, school, shopping",,,
537,,,,"Walking during Leisure-Time for Pleasure or Exercise: During an average week, how many hours do you spend walking?",walking,,,leisure,,,
538,,,,"Leisure Time Sport:During past 12 months, did you play any sports or do any exercise such as cycling, etc for exercise or pleasure at least 12 times?",cycling,,,"sports, exercise, pleasure",,,
539,,,,"Leisure Time Sport: Prior to the past 12 months, did you play any sports or do any exercise such as cycling, etc for exercise or pleasure at least 12 times?",cycling,,,"sports, exercise, pleasure",,,
540,,National Health Interview Survey (NHIS) 1991,http://appliedresearch.cancer.gov/paq/q046.html,"In the past 2 weeks have you done any of the following exercises, sports or physically active hobbies: Walking for exercise?",walking,,`,"sports, exercise, physically active hobbies",,,
541,,,,How many times in the past 2 weeks did you do: Walking for exercise?,walking,,,exercise,,,
542,,,,"On average, about how many minutes did you actually spend walking for exercise each time?",walking,,,exercise,,,
543,,,,"In the past 2 weeks have you done any of the following exercises, sports or physically active hobbies: Riding a bicycle or exercise bike?",bicycling,,,"sports, exercise, physically active hobbies",,,
544,,,,How many times in the past 2 weeks did you do: Riding a bicycle or exercise bike?,bicycling,,,exercise,,,
545,,,,"On average, about how many minutes did you actually spend riding a bicycle or exercise bike each time?",bicycling,,,exercise,,,
546,,NHANES PA and Physical Fitness PAQ (version 1998),http://www.cdc.gov/nchs/data/nhanes/cpaq.pdf,"Over the past 30 days, have you walked or bicycled as part of getting to and from work, or school, or to do errands?","walking, bicycling",,,"to and from work, school, shopping",,,
547,,,,"Over the past 30 days, how often did you do this: walk or bicycle as part of getting to and from work, or school, or to do errands?","walking, bicycling",,,"to and from work, school, shopping",,,
548,,,,"On those days when you walked or bicycled, about how long did you spend altogether doing this?","walking, bicycling",,,,,,
549,,,,"Over the past 30 days, did you do any vigorous activities for at least 10 minutes that caused heavy sweating...? (running, fast bicycling)",vigorous activities,,,"running, fast",,,
550,,,,"Over the past 30 days, what vigorous activities did you do? Walking/Bicycling",vigorous activities,,,"walking, bicycling",,,
551,,,,"Vigorous Activity: Over the past 30 days, how often did you bicycle ?",bicycling,,,vigorous activity,,,
552,,,,"Vigorous Activity: Over the past 30 days, on average how long did you bicycle each time?",bicycling,,,vigorous activity,,,
553,,,,"Vigorous Activity: Over the past 30 days, how often did you walk ?",walking,,,vigorous activity,,,
554,,,,"Vigorous Activity: Over the past 30 days, on average how long did you walk each time?",walking,,,vigorous activity,,,
555,,,,"Moderate Activity: Over the past 30 days, did you do moderate activities for at least 10 minutes that caused light sweating...? (brisk walking, bicycling for pleasure)","walking, bicycling",,,moderate activity,,,
556,,,,"Moderate Activity: Over the past 30 days, what activities did you do? Walking/Bicycling","walking, bicycling",,,moderate activity,,,
557,,,,"Moderate Activity: Over the past 30 days, how often did you bicycle ?",bicycling,,,moderate activity,,,
558,,,,"Moderate Activity: Over the past 30 days, on average how long did you bicycle each time?",bicycling,,,moderate activity,,,
559,,,,"Moderate Activity: Over the past 30 days, how often did you walk ?",walking,,,moderate activity,,,
560,,,,"Moderate Activity: Over the past 30 days, on average how long did you walk each time?",walking,,,moderate activity,,,
561,,NHANES III,http://appliedresearch.cancer.gov/paq/q049.html,"In the past month, how often did you walk a mile or more at a time without stopping? Times per day",walking,,,,,,
562,,,,"In the past month, how often did you walk a mile or more at a time without stopping? Times per week",walking,,,,,,
563,,,,"In the past month, how often did you walk a mile or more at a time without stopping? Times per month",walking,,,,,,
564,,,,"In the past month, how often did you walk a mile or more at a time without stopping? Times per day/week/month",walking,,,,,,
565,,,,"In the past month, did you ride a bicycle or exercise bike?",bicycling,,,exercise,,,
566,,,,The number of times per day/week/month you rode a bicycle or exercise bike?,bicycling,,,exercise,,,
