id,variable descriptions
phv00156254.v1 , F33 Treatment for Anxiety 
phv00033696.v1 , Presence (1) or absence (0) of new vessels elsewhere (not on disc; either eye) - quarterly visit 16 
phv00125618.v1 , HEART SURGERY SINCE LAST CONTACT  Q12A 
phv00002851.v1 , ECHO: MITRAL VALVE MOTION-SYSTOLIC (SYS) 
phv00050667.v1 , B8f4. Health care delivery. Stress test: paid by self 
phv00070944.v1 , Treatment group as assigned at Baseline.  The following is a map between the CAMP treatment group and this tx_grp: Budesonide: formerly a value of 1 is tx_grp=4; Nedocrimil: formerly a value of 2 is tx_grp=8; Placebo: formerly a value of 3 is tx_grp=9 
phv00045133.v1 , Have you used alcohol 3 or more times while taking medication or drugs you knew were dangerous to mix with alcohol: (2) What medication/drugs?   -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00009674.v3 , CURRENTLY RECEIVING MEDICATION FOR THE TREATMENT OF HYPERTENSION 
phv00032115.v1 , Delivery information - if Caesarian specify indication: preeclampsia 
phv00102114.v1 , Slow-release CCBs = NIFSR or DIHSR or VE 
phv00156792.v2 , FFQ: Other food section pass through indicator 
phv00008059.v3 ," ECHO: RELATIVE WALL THICKNESS,SYS(%) "
phv00050441.v1 ," B8g3. Health care delivery. During the past 6 months have you had laboratory test: urine tests, number of visits paid for by other insurance "
phv00123349.v1 , 81 How many sisters with Angioplasty or By-Pass Surgery 
phv00070607.v1 ," DURING THE COURSE OF A NORMAL DAY, CAN YOU DO THE FOLLOWING ACTIVITIES INDEPENDENTLY OR DO YOU NEED HUMAN ASSISTANCE OR THE USE OF A DEVICE? --BOWEL CONTINENCE (ASK IF PERSON HAS ""ACCIDENTS"". DEVICE SUCH AS: SUPPOSITORIES, BEDPAN, REGULAR ENEMAS, COLOSTOMY) "
phv00190927.v1 , Type of tumor treatment for sample 
phv00029836.v1 , Standard Therapy 4  - previous day: units of long-acting or ultra-lente insulin 
phv00090246.v1 , Total Filled Teeth 
phv00085815.v2 , PRESENCE OF CALCIUM INDICATOR - E2 
phv00081607.v1 , DEPRESSION THAT NEEDS TREATMENT: Subject History of disease 
phv00078103.v3 , Energy expenditure from hard exercise (MET-hours/week) 
phv00033738.v1 , Recovery from early sustained 3-step change (ETDRS) - relative to baseline level 
phv00071006.v1 , Run-In Treatment group at follow-up visit 
phv00029813.v1 , MDI4  - previous day: A.M. or P.M. insulin injection 
phv00164785.v1 , Total Primary Decayed Teeth. 
phv00087216.v1 , NUMBER OF TIMES TREATED WITH ANTIBIOTICS IN LAST YEAR (ESTIMATE IF NECESSARY) 
phv00045256.v1 ," The presence or absence of dystonia in the subject blood relatives, to be delineated, as documented based on clinician interview of the subject (see phs000004: NINDS Repository Neurologically Normal Control Collection). "
phv00007851.v3 , ABDOMEN: LIVER ENLARGED 
phv00081871.v1 , Has a request been made for sample destruction? 
phv00071653.v1 ," Have you ever received treatment for, or been diagnosed with, any of the following conditions: bipolar disorder (manic-depression) "
phv00068374.v2 , FFQ: BREAD SECTION PASS THROUGH INDICATOR 
phv00096085.v1 , WHERE WAS IMPLANT PLACED            Q33 
phv00160558.v2 , Calcium score: Segment 8cm above bifurcation 
phv00066136.v1 , E3b. Participation in other research projects. Test procedures: did research involve 
phv00087463.v1 , YOU ARE TREATED WITH LESS RESPECT THAN OTHER PEOPLE 
phv00001233.v1 , X-RAY: (AFTER) ABNORMAL CONTOUR OTHER THAN ENLARGEMENT 
phv00100009.v1 ," ST ELEVATION GE 100, CH 1 (DURATION) "
phv00123547.v1 , 95 Specify Major surgery 
phv00045270.v1 , The presence or absence of Tourette's syndrome in the subject's blood relatives as determined by clinician's interview (see phs000004: NINDS Repository Neurologically Normal Control Collection). 
phv00005532.v1 , OSTEOARTHRITIS - RIGHT HAND THUMB CMC (CARPOMETACARPAL) 
phv00092489.v1 , Attachment Loss (AL) measure for Distolingual (DL) of tooth number 13 
phv00024307.v1 , The presence or absence of dystonia in the subjects themselves as determined by clinician's interview 
phv00002877.v1 , ECHO: IV-SEPT-SYSTOLE (MM) 
phv00001459.v1 , INTERIM HISTORY OF DIET: LOW SALT DIET 
phv00059097.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00005528.v1 , OSTEOARTHRITIS - RIGHT HAND INDEX PIP (PROXIMAL INTERPHALANGEAL) 
phv00171042.v1 ," The weight, in grams, of the tissue sample when it was received(public CDE id 2673869) "
phv00062816.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00051203.v1 , D2a. Amputation: traumatic 
phv00103724.v1 , Dressing yourself: How much difficulty 
phv00004558.v1 , FUNCTIONAL PERFORMANCE (ADL)-TRANFERRING (CHAIR) 
phv00121390.v2 , STROKE BASED ON SIGNS WITHOUT CT OR MRI OR LUMBAR PUNCTURE EVIDENCE OF BLOOD 
phv00121370.v2 , HYPERTENSION BASED ON BP LOWERING MEDICATION 
phv00066820.v5 , ATC code for second drug in compound 
phv00073649.v1 , Indicator of the presence of moles 
phv00012696.v1 ," J25d. Has stopping, cutting down on, or quitting (drug) ever caused you any of these problems? Have trouble sleeping? A COC. (Participants with European ancestry). DIGS2 "
phv00169469.v1 , Months had Progesterone shots 
phv00026915.v1 , Log of ETDRS score at quarterly visit 18 ( 54 months) 
phv00091279.v2 , Day of life enteral feedings were started 
phv00160078.v1 , Child was on extracorporeal membrane oxygenation (ECMO) at some point. 
phv00045272.v1 , The presence or absence of amyotrophic lateral sclerosis in the subject themselves as documented based on clinician interview (see phs000004: NINDS Repository Neurologically Normal Control Collection). 
phv00108030.v1 , REQUIRED MEDICINE/TREATMENT FOR ATTACKS 
phv00022247.v3 ," EACH OF 46 ACTIVITIES: 8 MODERATE, HOUSE: CLIPPING HEDGE - NUMBER WEEKS PARTICIPATED ACTIVITY IN PAST YEAR (WEEKS) "
phv00061010.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00044980.v1 , Did your drinking ever cause you to have problems at work or school?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00027665.v1 , Typical level of exercise: quarterly visit 16 
phv00012709.v1 ," J25g. Has stopping, cutting down on, or quitting (drug) ever caused you any of these problems? Sweat or have a fever? C SED. (Participants with European ancestry). DIGS2 "
phv00026708.v1 , Grade on ETDRS scale (patient) - baseline 
phv00142036.v2 , For all brains where Lewy Bodies are detected: likelihood that DLB Clinical Syndrome due to DLB Pathology. 
phv00168550.v1 , Is there a history of coronary angioplasty prior to this event? 
phv00050929.v1 ," D4l1. Hospitalization and other health care services used. During the past 12months, have you had any of the following laboratory tests: timed urine collection - number of times "
phv00050501.v1 ," D1. Health care conditions: foot care, did not have time "
phv00050617.v1 ," B6k. Health care delivery. Doctor who usually taken care of your diabetes, podiatrist: seen past 6 months "
phv00059666.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00050939.v1 ," D4q1. Hospitalization and other health care services used. During the past 12months, have you had any of the following laboratory tests: flu shot - number of times "
phv00162299.v2 , FFQ: Fat in baking section pass through indicator 
phv00096510.v1 , Indicator for presence of form 
phv00103623.v1 , HOW HAS BATHING YOURSELF CHANGED 
phv00056784.v1 , Form and revision 
phv00030010.v1 , Changed insulin regimen: type of insulin - beef 
phv00029506.v1 ," Peroneal nerve - pre-test temperature (celsius): close-out - Note: There may be instances of errors in recording some body temperatures values.  Body temperature values outside reasonable ranges (e.g., 30-40 degrees celsius) might be treated as recording or measurement errors. "
phv00063698.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00004361.v1 , APEX RADIATION 
phv00117106.v2 , CURRENTLY TAKING HORMONES EXCLUDING BCP? Q 43 
phv00028905.v1 , Standard treatment 2  - injection time 
phv00003437.v1 , PROSTATE SURGERY 
phv00162306.v2 , FFQ: Margarine section pass through indicator 
phv00071482.v1 , Presence Of Household Members - Children 2-5 years old 
phv00092437.v1 , Attachment Loss (AL) measure for Mesiolingual (ML) of tooth number 25 
phv00077914.v3 , 5lbs on purpose/Increased exercise 
phv00027184.v1 , Effect of tests and procedures on your participation: body measurements 
phv00108449.v1 , HAVE DIFFICULTY GETTING TO TOILET 
phv00070021.v2 , FFQ: VEGETABLE SHORTENING USED FOR BAKING 
phv00099094.v1 , ANY CHEST OPERATIONS 
phv00060210.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00059136.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00007183.v1 , USE CARDIAC REHABILITATION CURRENTLY 
phv00044861.v1 , How many drinks of other (specify) would you have on Tuesday in a typical drinking week?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00012570.v1 , I33. Have you ever had treatment for a drinking problem? (Participants with European ancestry). DIGS2 
phv00012887.v1 ," M18b. Please tell me whether you think the statement is definitely true for you, probably true for you, probably not true for you, or definitely not true for you.  I am touchy. (Participants with European ancestry). DIGS2 "
phv00023898.v1 , MINI-MENTAL STATE EXAM 
phv00029795.v1 , MDI - previous day insulin units: preprandial (meal/snacks) boluses 
phv00094259.v1 , SURGERY ON HEART SINCE LAST VISIT?   Q4 
phv00105042.v1 , Slow-release diltiazem 
phv00021375.v4 , 1ST NP BIO PARENT - DID YOUR PARENT EVER HAVE A PROCEDURE TO UNBLOCK BLOOD VESSELS IN THE NECK (SUCH AS CAROTID ENDARTERECTOMY)? 
phv00050546.v1 , B1a. Health care delivery. Total number of times stay in hospital 
phv00092900.v1 , Shadowing in either int. carotid artery 
phv00058841.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00033584.v1 , Occurrence of 3-step change in ETDRS level compared to baseline - quarterly visit 22 
phv00103751.v1 , HOW ARE YOU TREATED FOR DIABETES 
phv00012571.v1 , I33a. Have you ever had treatment for a drinking problem? (IF YES:) Was this treatment discussion with a professional? (Participants with European ancestry). DIGS2 
phv00050395.v1 ," B6l3. Health care delivery. Have you ever seen this type of doctor: nurse practitioner, number of visits paid for by other insurance "
phv00174019.v1 , Test result for detecting match between normal and tumor genotype 
phv00024309.v1 , The presence or absence of heart disease in the subjects themselves as determined by clinician's interview. 
phv00076130.v1 , Ankle-Brachial Index measurement after exercise 
phv00006924.v1 ," FEMALE HORMONE REPLACEMENT: DOSE/DAY OF PREMARIN CONJUGATED ESTROGENS, OR OTHER ORAL ESTROGEN "
phv00096113.v1 , Indicator for presence of form 
phv00004171.v1 , HAD ANY FALLS (HIT THE FLOOR OR GROUND) IN LAST YEAR 
phv00092474.v1 , Attachment Loss (AL) measure for Lingual (L) of tooth number 30 
phv00167394.v1 ," Indicates whether patient received systemic therapy for their cancer, pre and post biopsy are indicated when known "
phv00033607.v1 , Presence (1)/absence (0) of any microaneurysm(s) (either eye) - quarterly visit 30 
phv00070430.v1 , SHORTNESS OF BREATH: IF YES TO FU071: DO YOU EVER HAVE TO STOP FOR BREATH AFTER WALKING 100 YARDS (OR AFTER A FEW MINUTES) ON LEVEL GROUND? 
phv00009959.v3 , ABDOMINAL ABNORMALITIES: LIVER ENLARGED 
phv00051478.v1 , C1b. Nature of event. Was the patient treated by: psychologist 
phv00128270.v1 , 12: Ever taken birth control pills? 
phv00050035.v1 , D2a. Treatment of clinical manifestation: patient received assistance 
phv00004648.v1 , AGE AT HYSTERECTOMY - FEMALE 
phv00123876.v1 , Blood Draw: 10 PM - how long since last use of CPAP 
phv00034063.v1 , DCCT: Symptoms were recognized as hypoglycemic symptoms by another person 
phv00022385.v3 , HOW DO YOU FEEL ABOUT THE FOLLOWING STATEMENT: I HAVE ENOUGH TIME TO GET THE JOB DONE? [PSYCHOLOGICAL JOB DEMANDS SCALE] 
phv00021115.v4 , SYSTOLIC MURMUR: LEFT STERNUM VALSALVA 
phv00027186.v1 , Effect of tests and procedures on your participation: genetic/family studies 
phv00128636.v1 , 32: Had minor home repairs 
phv00091715.v1 , Number of Filled Root Surfaces 
phv00050405.v1 ," B6n3. Health care delivery. Have you ever seen this type of doctor: other provider, number of visits paid for by other insurance "
phv00072066.v2 , SINCE YOUR LAST EXAM HAVE YOU HAD AN OPERATION TO REMOVE ONE OR BOTH OF YOUR OVARIES? 
phv00044876.v1 , How many drinks of liquor would you have on Saturday in a typical drinking week?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00012714.v1 ," J25h. Has stopping, cutting down on, or quitting (drug) ever caused you any of these problems? Have nausea or vomiting? E MISC. (Participants with European ancestry). DIGS2 "
phv00051385.v1 , C4a. Nature of event. Was a patient treated within a health care facility: emergency room 
phv00044698.v1 , What is your religious preference?   RECORD:  - IF ANY ASK QUESTION D; OTHERS SKIP TO QUESTION A9 - NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00012297.v1 ," G25. INTERVIEWER: code based on answers to Q.15-24.Modified RDC INCAPACITATION: Complete inability to function in principal role for at least two days, hospitalization, ECT, delusions or hallucinations, or inability to carryon a conversation. IMPROVEMENT: Improvement in function. (IF IMPAIRED OR INCA PAC.) Specify: MOST SEVERE EPISODE. (Participants with European ancestry). DIGS2 "
phv00050414.v1 ," B8b1. Health care delivery. During the past 6 months have you had laboratory test: other blood tests, how many times "
phv00070626.v1 ," USE REHABILITATION SERVICES CURRENTLY (SUCH AS PHYSICAL, OCCUPATIONAL, OR SPEECH THERAPY) "
phv00025808.v1 , Standard treatment group - since last visit: patient has used glucose monitoring at greater frequency than specified in protocol 
phv00001922.v1 , HEART EXAMINATION: PMI OUTSIDE MCL 
phv00005294.v1 , DO YOU GET ASSISTANCE FROM ANOTHER PERSON TO DO THE FOLLOWING ACTIVITIES DURING A NORMAL DAY? - BATHING 
phv00045051.v1 , Have you ever been arrested or detained by the police even for a few hours because of drunken behavior (other than drunk-driving): How long ago was the first time?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00029275.v1 , Less stringent therapy goals are planned 
phv00012693.v1 ," J25c. Has stopping, cutting down on, or quitting (drug) ever caused you any of these problems? Feel tired, sleepy, or weak? C SED. (Participants with European ancestry). DIGS2 "
phv00171134.v1 ," The total amount, in micrograms, of molecular analyte purified from the tissue sample.(public CDE id 2673838) "
phv00049269.v1 , L5.  Ophthalmic complications: photocoagulation of right eye 
phv00088333.v1 , HVLT - R (Hopkins Verbal Learning Test - Revised) Delay: Recognition Hits 
phv00010226.v3 , AGE AT HYSTERECTOMY IN INTERIM (YEARS) 
phv00051544.v1 ," C5. Nature of event. Was any operation performed? If yes, specify intervention and result. Test 5 "
phv00049329.v1 ," P2. Medication, Rx: used over-the-counter drugs "
phv00004560.v1 , FUNCTIONAL PERFORMANCE (ADL)-CONTINENCE (BOWEL AND BLADDER CONTINENCE) 
phv00086280.v2 , RECODE OF DM033C COMBINING UNTREATED AND TREATED DIABETES - E3 
phv00050413.v1 , B8b. Health care delivery. During the past 6 months have you had laboratory test: other blood tests 
phv00066828.v5 , Description/Label for therapeutic subgroup - medication or first drug in compound 
phv00029402.v1 ," Median nerve - motor - post-test temperature (celsius): quarterly visit 04 - Note: There may be instances of errors in recording some body temperatures values.  Body temperature values outside reasonable ranges (e.g., 30-40 degrees celsius) might be treated as recording or measurement errors. "
phv00008568.v3 , HEART: APEX SYSTOLIC MURMUR -EFFECT OF VALSALVA 
phv00002859.v1 , ECHO: IV-POSTEROBASAL-MOTION 
phv00058770.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00051485.v1 , C2c. Nature of event. Medical/surgical inpatient primary medical problem 
phv00141880.v2 , J-point elevation amplitude in lead aVR 
phv00077903.v3 , Energy expenditure from mild exercise (MET-hours/week) 
phv00078310.v3 , Have progesterone shots 
phv00103467.v1 , CHANGE IN USING THE TOILET IN PAST 6 MO 
phv00076342.v3 , The antero-posterior diameter of the abdominal aorta 5 cm above the aorto-common iliac bifurcation. 
phv00044810.v1 , How many drinks of beer did you have on Thursday?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00171570.v1 , Percent of blasts in bone marrow aspirate at day 29 induction therapy 
phv00163788.v1 , Use of diabetes medication prior to bariatric surgery. 
phv00045052.v1 ," Have you accidentally injured yourself when you were drinking that is, had a bad fall or cut yourself badly, been hurt in a traffic accident, or anything like that: How long ago was the first time?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. "
phv00066706.v4 , AUGMENTATION INDEX (CALCULATED AS THE PERCENT DIFFERENCE BETWEEN FIRST AND SECOND PEAKS OF THE SIGNAL WAVEFORM) 
phv00045105.v1 , SPECIFY - 1: medication/drug taken to avoid these (withdrawal) symptoms or to make them go away  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00062464.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00044783.v1 , Was there ever a period lasting a month or longer when you had 3 or more of these experiences occurring together?  NOTE:  MUST BE 3 FROM DIFFERENT GROUPS.  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. 
phv00064089.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00051806.v1 ," TREATMENT FOR LIPIDS (0=No,1=Yes) EXAM 7 "
phv00050350.v1 ," B6c3. Health care delivery. Have you ever seen this type of doctor: ophthalmologist, number of visits paid for by other insurance "
phv00036229.v4 , HSA MEASUREMENT - NARROW NECK SECTION MODULUS (CM3). A MEASUREMENT OF BENDING STRENGTH THAT DEPENDS ON THE DISTRIBUTION OF AREA IN THE CROSS SECTION AND INCREASES AS THE SQUARE OF THE DISTANCE FROM THE CENTER OF MASS FOR BENDING IN IMAGE PLANE ONLY. 
phv00034910.v1 , Presence of household members - children under 2 
phv00029328.v1 , Mean valsalva ratio: quarterly visit 24 
phv00010684.v3 ," HEAVY ACTIVITY - NUMBER OF HOURS WITH ACTIVITIES SUCH AS HEAVY HOUSEHOLD WORK, HEAVY YARD WORK SUCH AS STACKING OR CHOPPING WOOD, EXERCISE SUCH AS INTENSIVE SPORTS - JOGGING, SWIMMING? ; THIS VARIABLE WAS NOT COLLECTED FOR OFFSITE EXAMS (G436 = 1 OR 2) "
phv00068346.v2 , FFQ: EGGS/MEAT SECTION 1 PASS THROUGH INDICATOR 
phv00045224.v1 ," UPRDS (Unified Parkinson's Disease Rating Scale) III Question 19B - Finger taps (subject taps thumb with index finger in rapid succession with widest amplitude possible, each hand separately). Left hand: 0 = Normal (less than 15/5 sec); 0.5=Intermediate between normal (less than 15/5 sec) and mild slowing and/or reduction in amplitude (11-14/5 sec); 1 = Mild slowing and/or reduction in amplitude (11-14/5 sec); 1.5=Intermediate between mild slowing and/or reduction in amplitude (11-14/5 sec) and moderately impaired, definite and early fatiguing, may have occasional arrests in movement (7-10/5 sec); 2 = Moderately impaired, definite and early fatiguing, may have occasional arrests in movement (7-10/5 sec); 2.5=Intermediate between moderately impaired, definite and early fatiguing, may have occasional arrests in movement (7-10/5 sec) and severely impaired, frequent hesitation in initiating movements or arrests in ongoing movement (3-6/5 sec); 3 = Severely impaired, frequent hesitation in initiating movements or arrests in ongoing movement (3-6/5 sec); 3.5=Intermediate between severely impaired, frequent hesitation in initiating movements or arrests in ongoing movement (3-6/5 sec) and can barely perform the task (0-2/5 sec) ; 4 = Can barely perform the task (0-2/5 sec); U = Unavailable "
phv00090024.v2 , CALCIUM VOLUME: SEGMENT 8CM ABOVE BIFURCATION 
phv00031209.v1 , Diabetes monitoring - three or more daily injections: blood test(s) should have done before lunch 
phv00002880.v1 , ECHO: SEPT-POST-WALL-RATIO (MM) 
phv00001850.v1 , INTERIM HISTORY OF DIET: REDUCING 
phv00032102.v1 , Pregnancy complications: D & C (dilation and curettage) - week of onset 
phv00103359.v1 , HOW HAS DRESSING YOURSELF CHANGED 
phv00160554.v2 , Calcium volume: Segment 8cm above bifurcation 
phv00170175.v1 , Coronary Artery Bypass Graft (CABG) 
phv00044959.v1 ," Have you ever gone on binges or benders when you kept drinking for 2 days or more without sobering up, except for sleeping? How old were you the first time?  -  NOTE: The data values for this variable represent harmonized values; they were derived from information obtained with Sections A and E of the SSAGAI and SSAGAII questionnaires. "
phv00008342.v3 , TARGET HEART RATE REACH = NO: CHEST DISCOMFORT 
phv00071433.v1 ," Interviewer rating of presence/absence of DSM4 criterion A item for  Negative Symptoms, followed by the raw repository SAS database field name in brackets for cross-reference to repository database [A60g]. Rating "
phv00049912.v1 , C3a. Blood glucose determination:  was the blood glucose measured before treatment?  Measurement value 
phv00022381.v3 , HOW DO YOU FEEL ABOUT THE FOLLOWING STATEMENT: MY JOB REQUIRES WORKING VERY FAST? [PSYCHOLOGICAL JOB DEMANDS SCALE] 
phv00169689.v1 , Coronary Revascularization ascertainment source 
phv00021390.v4 , TREATMENT FOR BLOOD PRESSURE CALCULATED: IF G3A012 = 1 THEN G3A709 = 1; ELSE IF G3A012 = . THEN G3A709 = . 
phv00117094.v2 , HAD A VASECTOMY? Q 37 
phv00026260.v1 , Diabetes control- symptoms of hyperglycemia: did patient experience other symptoms of hyperglycemia 
phv00001677.v1 , HEART EXAMINATION: ABNORMAL SOUNDS 
phv00058720.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00065843.v1 ," N1h. Infections, major surgery, minor outpatient surgery, endocrinological, or skin complications: at insertion site "
phv00009141.v3 , FUNCTIONAL PERFORMANCE (ADL)-BATHING 
phv00058514.v2 ," 1:Rx for high LDL,0:No Rx, visit 1 "
phv00161262.v1 ," QRS Intrisicoid (Time from Onset of QQRS Complex to Middle of QRS Complex,the Alignment Point or Detection Point of the QRS Complex), Lead II (mSec) "
phv00171150.v1 , Was the tumor OCT embedded (Yes/No)(public CDE id 2673872) 
phv00078821.v3 , Energy expenditure from mild exercise (MET-hours/week) 
phv00168187.v1 , How often do you consume Bacon;  2 slices? 
phv00158209.v1 , FFQ: TAKE VITAMIN D SUPPLEMENT 
phv00082654.v1 , SECONDARY RECODE OF DM031C OMITTING IFG AND COMBINING UNTREATED AND TREATED DIABETES - E1 
phv00062656.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00096417.v1 , SPORT OR EXERCISE CODE 2          Q52 
phv00125531.v1 , CORONARY BYPASS                   Q13A 
phv00059840.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00050458.v1 ," B8hd. Health care delivery. During the past 6 months have you had laboratory test: D. other major tests, in past 6 months "
phv00004773.v1 , CORONARY ARTERY ANGIOPLASTY-TYPE OF PROCEDURE 
phv00020207.v2 ," Interviewer rating of presence/absence of DSM4 (Diagnostic and Statistical Manual of Mental Disorders) criterion A item for  ""negative symptoms"", followed by the raw repository SAS database field name in brackets for cross-reference to repository database [A60g] "
phv00025995.v1 , Diabetes monitoring (three or more daily injections or infusion pump): blood test(s) should have done before lunch 
phv00084527.v2 ," SCAN 1: TOTAL CALCIUM VOLUME, UNADJUSTED "
phv00079514.v3 ," Supplemental Folic Acid, mcg "
phv00126946.v1 , RECALL: glutamic acid 
phv00002226.v1 , INTERIM HISTORY OF MEDICINE USED: ANTI-CHOLESTEROL AGENTS 
phv00032899.v1 , Post-breakfast blood glucose at OD 340 (quarterly visit 11) 
phv00033295.v1 , Post-breakfast blood glucose at OD 340 (quarterly visit 29) 
phv00162223.v2 , FFQ: CANNED TUNA FISH 
phv00147741.v2 ," RIGHT LUNG, MIDDLE PEEL: TOTAL VOLUME OF AIR IN THIS LUNG REGION (ml) "
phv00077363.v3 , CBC Days since randomization/enrollment 
phv00100281.v1 , CALCULATED PERSISTENT BRADYCARDIA <40 BE 
phv00143678.v3 ," RIGHT LUNG, LOWER PEEL: TOTAL VOLUME OF THIS LUNG REGION (ml) "
phv00058592.v2 ," 1:Rx for high LDL, 0:No Rx, visit 3 "
phv00027672.v1 , Patient reports using alcohol: quarterly visit 24 
phv00085241.v2 ," CHOLESTEROL MEDS, AGE STARTED UNKNOWN "
phv00111796.v3 ," Item #53: Fried fish/fish sandwich/fried shellfish, med serv/day "
phv00062969.v2 ," 1:Rx for high LDL, 0:No Rx, visit 2 "
phv00032798.v1 , Bedtime blood glucose mg/dl (quarterly visit 06) 
phv00163823.v2 , Immunophenotype & Cytochemistry: CD13 % Positive 
phv00023742.v1 , SSI-ICM TEST - +10 MCR SCORE - RIGHT EAR 
phv00018445.v1 , J44. Opiates.  (Participants with European ancestry). DIGS4 
phv00172766.v1 , Derived field: Nutrient value - Niacin without supplements 
